page,event,event_url,date,f1,f1_url,f1_open,f1_close_lo,f1_close_hi,f1_spark,f2,f2_url,f2_open,f2_close_lo,f2_close_hi
/fighters/jon-jones-819,UFC,/events/ufc-3525,2026-01-01,Jon Jones,/fighters/jon-jones-819,120.0,110.0,118.0,"2.2, 2.1, 2.14",Tom Aspinall,/fighters/tom-aspinall-8930,-142.0,-155.0,-130.0
/fighters/jon-jones-819,Unconfirmed Fights,/events/unconfirmed-fights-3781,2025-12-31,Jon Jones,/fighters/jon-jones-819,-286.0,-525.0,-286.0,"1.34965, 1.224825, 1.23365, 1.237325, 1.246255, 1.265735, 1.270065",Alex Pereira,/fighters/alex-pereira-10463,210.0,210.0,410.0
/fighters/jon-jones-819,UFC,/events/ufc-3476,2024-11-17,Jon Jones,/fighters/jon-jones-819,-298.0,-670.0,-549.0,"1.33557, 1.2073216666667, 1.2042916666667, 1.198465, 1.17475, 1.153555, 1.15253, 1.15253, 1.1494583333333, 1.175905",Stipe Miocic,/fighters/stipe-miocic-1869,240.0,400.0,460.0
/fighters/jon-jones-819,UFC,/events/ufc-3004,2023-11-12,Jon Jones,/fighters/jon-jones-819,-200.0,-400.0,-340.0,"1.5, 1.28951, 1.27206, 1.2702633333333",Stipe Miocic,/fighters/stipe-miocic-1869,170.0,280.0,300.0
/fighters/jon-jones-819,UFC 285,/events/ufc-285-2738,2023-03-04,Jon Jones,/fighters/jon-jones-819,140.0,-186.0,-143.0,"2.4, 1.80448625, 1.7752425, 1.74906375, 1.70439875, 1.6745155555556, 1.6563555555556, 1.6433477777778, 1.6196333333333, 1.5948788888889",Ciryl Gane,/fighters/ciryl-gane-9273,-166.0,123.0,155.0
/fighters/jon-jones-819,UFC 247: Jones vs. Reyes,/events/ufc-247-jones-vs-reyes-1837,2020-02-08,Jon Jones,/fighters/jon-jones-819,-400.0,-500.0,-440.0,"1.25, 1.2148133333333, 1.2164966666667, 1.2214066666667, 1.2248533333333, 1.2306666666667, 1.2267, 1.22309, 1.2191933333333, 1.2156833333333",Dominick Reyes,/fighters/dominick-reyes-7225,300.0,350.0,375.0
/fighters/jon-jones-819,UFC 239: Jones vs. Santos,/events/ufc-239-jones-vs-santos-1686,2019-07-06,Jon Jones,/fighters/jon-jones-819,-850.0,-670.0,-525.0,"1.11765, 1.1533333333333, 1.1466866666667, 1.1578, 1.1498633333333, 1.1535266666667, 1.1578, 1.16686, 1.1747966666667, 1.1731966666667",Thiago Santos,/fighters/thiago-santos-2526,625.0,400.0,485.0
/fighters/jon-jones-819,UFC 235: Jones vs. Smith,/events/ufc-235-jones-vs-smith-1625,2019-03-02,Jon Jones,/fighters/jon-jones-819,-900.0,-800.0,-714.0,"1.11111, 1.104055, 1.095455, 1.0886133333333, 1.0903666666667, 1.0873933333333, 1.07472, 1.0765066666667, 1.11677, 1.1327966666667",Anthony Smith,/fighters/anthony-smith-1829,600.0,450.0,550.0
/fighters/jon-jones-819,UFC 232: Jones vs. Gustafsson 2,/events/ufc-232-jones-vs-gustafsson-2-1583,2018-12-29,Jon Jones,/fighters/jon-jones-819,-200.0,-333.0,-290.0,"1.5, 1.42544, 1.36039, 1.3597766666667, 1.38984, 1.37408, 1.3475266666667, 1.3583033333333, 1.35943, 1.3261533333333",Alexander Gustafsson,/fighters/alexander-gustafsson-1559,170.0,245.0,250.0
/fighters/jon-jones-819,UFC 214: Cormier vs. Jones 2,/events/ufc-214-cormier-vs-jones-2-1303,2017-07-29,Jon Jones,/fighters/jon-jones-819,-250.0,-325.0,-310.0,"1.4, 1.386905, 1.400645, 1.381265, 1.38476, 1.37736, 1.38099, 1.373865, 1.40016, 1.315135",Daniel Cormier,/fighters/daniel-cormier-1583,210.0,260.0,265.0
