location,country,lat,lon,elevation,timezone,g_country
"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,24.45118,54.39696,6.0,Asia/Dubai,United Arab Emirates
"Abu Dhabi, United Arab Emirates",United Arab Emirates,24.45118,54.39696,6.0,Asia/Dubai,United Arab Emirates
"Adelaide, South Australia, Australia",Australia,-34.92866,138.59863,59.0,Australia/Adelaide,Australia
"Albany, New York, USA",United States,42.65258,-73.75623,45.0,America/New_York,United States
"Albuquerque, New Mexico, USA",United States,35.08449,-106.65114,1511.0,America/Denver,United States
"Anaheim, California, USA",United States,33.83529,-117.9145,48.0,America/Los_Angeles,United States
"Atlanta, Georgia, USA",United States,33.749,-84.38798,320.0,America/New_York,United States
"Atlantic City, New Jersey, USA",United States,39.36415,-74.42306,2.0,America/New_York,United States
"Auburn Hills, Michigan, USA",United States,42.68753,-83.2341,293.0,America/Detroit,United States
"Auckland, New Zealand",New Zealand,-36.84853,174.76349,43.0,Pacific/Auckland,New Zealand
"Augusta, Georgia, USA",United States,33.47097,-81.97484,43.0,America/New_York,United States
"Austin, Texas, USA",United States,30.26715,-97.74306,149.0,America/Chicago,United States
"Baku, Azerbaijan",Azerbaijan,40.37767,49.89201,23.0,Asia/Baku,Azerbaijan
"Baltimore, Maryland, USA",United States,39.29038,-76.61219,10.0,America/New_York,United States
"Bangor, Maine, USA",United States,44.79884,-68.77265,36.0,America/New_York,United States
"Barueri, Sao Paulo, Brazil",Brazil,-23.51056,-46.87611,729.0,America/Sao_Paulo,Brazil
"Bay St. Louis, Mississippi, USA",United States,30.38186,-89.04392,6.0,America/Chicago,United States
"Beijing, China",China,39.9075,116.39723,49.0,Asia/Shanghai,China
"Belem, Para, Brazil",Brazil,-1.4558,-48.4902,10.0,America/Belem,Brazil
"Belfast, Northern Ireland, United Kingdom",United Kingdom,54.59682,-5.92541,7.0,Europe/London,United Kingdom
"Belgrade, Vojvodina, Serbia",Serbia,44.80401,20.46513,120.0,Europe/Belgrade,Serbia
"Belo Horizonte, Minas Gerais, Brazil",Brazil,-19.92083,-43.93778,888.0,America/Sao_Paulo,Brazil
"Berlin, Berlin, Germany",Germany,52.52437,13.41053,74.0,Europe/Berlin,Germany
"Berlin, Germany",Germany,52.52437,13.41053,74.0,Europe/Berlin,Germany
"Birmingham, Alabama, USA",United States,33.52066,-86.80249,187.0,America/Chicago,United States
"Birmingham, England, United Kingdom",United Kingdom,52.48142,-1.89983,149.0,Europe/London,United Kingdom
"Boise, Idaho, USA",United States,43.6135,-116.20345,823.0,America/Boise,United States
"Bossier City, Louisiana, USA",United States,32.51599,-93.73212,53.0,America/Chicago,United States
"Boston, Massachusetts, USA",United States,42.35843,-71.05977,14.0,America/New_York,United States
"Brasilia, Distrito Federal, Brazil",Brazil,-15.77972,-47.92972,1136.0,America/Sao_Paulo,Brazil
"Brisbane, Queensland, Australia",Australia,-27.46794,153.02809,27.0,Australia/Brisbane,Australia
"Brooklyn, New York, USA",United States,40.6501,-73.94958,15.0,America/New_York,United States
"Broomfield, Colorado, USA",United States,39.92054,-105.08665,1644.0,America/Denver,United States
"Buenos Aires, Buenos Aires, Argentina",Argentina,-34.61315,-58.37723,31.0,America/Argentina/Buenos_Aires,Argentina
"Buffalo, New York, USA",United States,42.88645,-78.87837,183.0,America/New_York,United States
"Busan, South Korea",South Korea,35.10168,129.03004,15.0,Asia/Seoul,South Korea
"Calgary, Alberta, Canada",Canada,51.05011,-114.08529,1048.0,America/Edmonton,Canada
"Casper, Wyoming, USA",United States,42.86663,-106.31308,1560.0,America/Denver,United States
"Cedar Rapids, Iowa, USA",United States,42.00833,-91.64407,247.0,America/Chicago,United States
"Charlotte, North Carolina, USA",United States,35.22709,-80.84313,229.0,America/New_York,United States
"Chiba, Japan",Japan,35.6,140.11667,5.0,Asia/Tokyo,Japan
"Chicago, Illinois, USA",United States,41.85003,-87.65005,179.0,America/Chicago,United States
"Cincinnati, Ohio, USA",United States,39.12711,-84.51439,191.0,America/New_York,United States
"Cleveland, Ohio, USA",United States,41.4995,-81.69541,199.0,America/New_York,United States
"Cologne, North Rhine-Westphalia, Germany",Germany,50.93333,6.95,58.0,Europe/Berlin,Germany
"Columbus, Ohio, USA",United States,39.96118,-82.99879,235.0,America/New_York,United States
"Copenhagen, Denmark",Denmark,55.67594,12.56553,14.0,Europe/Copenhagen,Denmark
"Curitiba, Parana, Brazil",Brazil,-25.42778,-49.27306,924.0,America/Sao_Paulo,Brazil
"Dallas, Texas, USA",United States,32.78306,-96.80667,128.0,America/Chicago,United States
"Denver, Colorado, USA",United States,39.73915,-104.9847,1609.0,America/Denver,United States
