fm_path,result,opp_path,opp,event,date,rank_pre,opp_rank_pre,r1_pre,r1_post,o1_pre,o1_post,r2_pre,r2_post,o2_pre,o2_post,r3_pre,r3_post,o3_pre,o3_post
/fighter-profile/Alex%20Pereira/159790/,L,/fighter-profile/Ciryl%20Gane/193933/,Ciryl Gane,UFC Freedom 250: Topuria vs. Gaethje,2026-06-14,#1 LHW,#1 HW,2312.0,2203.0,2212.0,2321.0,2279.0,2174.0,2150.0,2255.0,2424.0,2281.0,2224.0,2367.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Magomed%20Ankalaev/133781/,Magomed Ankalaev,UFC 320 - Ankalaev vs. Pereira 2,2025-10-04,#2 LHW,#1 LHW,2197.0,2312.0,2324.0,2209.0,2175.0,2279.0,2299.0,2195.0,2302.0,2424.0,2416.0,2294.0
/fighter-profile/Alex%20Pereira/159790/,L,/fighter-profile/Magomed%20Ankalaev/133781/,Magomed Ankalaev,UFC 313 - Pereira vs. Ankalaev,2025-03-08,#1 LHW,#2 LHW,2302.0,2197.0,2219.0,2324.0,2264.0,2175.0,2210.0,2299.0,2399.0,2302.0,2318.0,2416.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Khalil%20Rountree/79751/,Khalil Rountree,UFC 307 - Pereira vs. Rountree,2024-10-05,#1 LHW,#8 LHW,2285.0,2302.0,1901.0,1885.0,2248.0,2264.0,1856.0,1840.0,2376.0,2399.0,1914.0,1893.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Jiri%20Prochazka/94459/,Jiri Prochazka,UFC 303 - Pereira vs. Prochazka 2,2024-06-29,#1 LHW,#5 LHW,2223.0,2285.0,2129.0,2066.0,2188.0,2248.0,2111.0,2050.0,2301.0,2376.0,2223.0,2148.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Jamahal%20Hill/187069/,Jamahal Hill,UFC 300: Pereira vs. Hill,2024-04-13,#1 LHW,#4 LHW,2164.0,2223.0,2053.0,1994.0,2125.0,2188.0,2041.0,1979.0,2221.0,2301.0,2147.0,2069.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Jiri%20Prochazka/94459/,Jiri Prochazka,UFC 295: Procházka vs. Pereira,2023-11-11,#1 LHW,NR,2043.0,2164.0,2201.0,2080.0,2016.0,2125.0,2167.0,2058.0,2067.0,2221.0,2309.0,2158.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Jan%20Blachowicz/6004/,Jan Blachowicz,UFC 291 - Poirier vs. Gaethje 2,2023-07-29,#2 MW,#2 LHW,1898.0,2043.0,2202.0,2057.0,1945.0,2016.0,2180.0,2109.0,1994.0,2067.0,2286.0,2218.0
/fighter-profile/Alex%20Pereira/159790/,L,/fighter-profile/Israel%20Adesanya/57140/,Israel Adesanya,UFC 287: Pereira vs Adesanya 2,2023-04-08,#1 MW,#2 MW,1923.0,1898.0,2228.0,2253.0,1977.0,1945.0,2207.0,2239.0,2055.0,1994.0,2229.0,2288.0
/fighter-profile/Alex%20Pereira/159790/,W,/fighter-profile/Israel%20Adesanya/57140/,Israel Adesanya,UFC 281 - Adesanya vs. Pereira,2022-11-12,#7 MW,#1 MW,1757.0,1923.0,2394.0,2228.0,1829.0,1977.0,2355.0,2207.0,1862.0,2055.0,2441.0,2229.0
