order,f1_url,f1,f1_res,f2_url,f2,f2_res,weight,title,sd_event_url
0,/fighter/Joshua-Van-365973,Joshua Van,yet to come,/fighter/Alexandre-Pantoja-25023,Alexandre Pantoja,yet to come,Flyweight,True,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
12,/fighter/Arman-Tsarukyan-213913,Arman Tsarukyan,,/fighter/Mauricio-Ruffy-192545,Mauricio Ruffy,,Lightweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
11,/fighter/Patricio-Freire-9960,Patricio Freire,,/fighter/Doo-Ho-Choi-56689,Doo Ho Choi,,Featherweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
10,/fighter/Renato-Carneiro-61700,Renato Carneiro,,/fighter/Brian-Ortega-65310,Brian Ortega,,Lightweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
9,/fighter/Alonzo-Menifield-210501,Alonzo Menifield,,/fighter/Iwo-Baraniewski-381634,Iwo Baraniewski,,Light Heavyweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
8,/fighter/Gable-Steveson-483540,Gable Steveson,,/fighter/Sean-Sharaf-344701,Sean Sharaf,,Heavyweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
7,/fighter/Marlon-Vera-97179,Marlon Vera,,/fighter/Charles-Jourdain-210843,Charles Jourdain,,Bantamweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
6,/fighter/Tai-Tuivasa-133745,Tai Tuivasa,,/fighter/Robelis-Despaigne-406903,Robelis Despaigne,,Heavyweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
5,/fighter/Edmen-Shahbazyan-247691,Edmen Shahbazyan,,/fighter/Brunno-Ferreira-322603,Brunno Ferreira,,Middleweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
4,/fighter/Giga-Chikadze-213745,Giga Chikadze,,/fighter/Joanderson-Brito-181115,Joanderson Brito,,Featherweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
3,/fighter/Casey-ONeill-175007,Casey O'Neill,,/fighter/Eduarda-Moura-395040,Eduarda Moura,,Flyweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
2,/fighter/Ryan-Gandra-404139,Ryan Gandra,,/fighter/Osman-Diaz-156965,Osman Diaz,,Light Heavyweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
1,/fighter/Michael-Aswell-286497,Michael Aswell,,/fighter/Joo-Sang-Yoo-387629,Joo Sang Yoo,,Featherweight,False,https://www.sherdog.com/events/UFC-331-Van-vs-Pantoja-2-113633
0,/fighter/Raoni-Barcelos-94587,Raoni Barcelos,yet to come,/fighter/Raul-Rosas-Jr-339419,Raul Rosas Jr.,yet to come,Bantamweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
11,/fighter/Montel-Jackson-206717,Montel Jackson,,/fighter/Ricky-Simon-111209,Ricky Simon,,Bantamweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
10,/fighter/Norma-Dumont-233587,Norma Dumont,,/fighter/Ailin-Perez-297989,Ailin Perez,,Bantamweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
9,/fighter/Elves-Brener-224229,Elves Brener,,/fighter/Josiah-Harrell-317135,Josiah Harrell,,Lightweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
8,/fighter/Yazmin-Jauregui-299051,Yazmin Jauregui,,/fighter/Vanessa-Demopoulos-118775,Vanessa Demopoulos,,Strawweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
7,/fighter/Rodolfo-Bellato-266457,Rodolfo Bellato,,/fighter/Christian-Edwards-270755,Christian Edwards,,Light Heavyweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
6,/fighter/John-Castaneda-86536,John Castaneda,,/fighter/Heili-Alateng-150691,Heili Alateng,,Bantamweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
5,/fighter/Mickey-Gall-160145,Mickey Gall,,/fighter/Sedriques-Dumas-288537,Sedriques Dumas,,Middleweight,False,https://www.sherdog.com/events/UFC-Fight-Night-289-Barcelos-vs-Rosas-Jr-113789
