sd_url,kind,result,opp_url,opp,event_url,event,date,method,referee,rnd,time
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Joseph-Penafiel-206209,Joseph Penafiel,/events/Duel-Arena-1-Perry-vs-Jenkins-114055,Duel Arena 1 - Perry vs. Jenkins,2026-08-29,KO (Spinning Back Elbow),Isiah Cabal,1,4:04
/fighter/AJ-Cunningham-228033,pro,loss,/fighter/Su-Young-You-179453,Su Young You,/events/UFC-Fight-Night-254-Vettori-vs-Dolidze-2-105789,UFC Fight Night 254 - Vettori vs. Dolidze 2,2025-03-15,Decision (Unanimous),Chris Tognoni,3,5:00
/fighter/AJ-Cunningham-228033,pro,loss,/fighter/Ludovit-Klein-183159,Ludovit Klein,/events/UFC-Fight-Night-238-Rozenstruik-vs-Gaziev-100072,UFC Fight Night 238 - Rozenstruik vs. Gaziev,2024-03-02,TKO (Front Kick to the Body and Punches),Keith Peterson,1,4:36
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Justice-Lamperez-256287,Justice Lamperez,/events/Real-Deal-Championships-RDC-9-As-Real-As-it-Gets-100391,Real Deal Championships - RDC 9: As Real As it Gets,2023-12-09,TKO (Punches),,1,2:32
/fighter/AJ-Cunningham-228033,pro,loss,/fighter/Steven-Nguyen-121057,Steven Nguyen,/events/Dana-Whites-Contender-Series-Contender-Series-2023-Week-6-97772,Dana White's Contender Series - Contender Series 2023: Week 6,2023-09-12,TKO (Punches),Mark Smith,2,4:06
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Jason-Mullen-260301,Jason Mullen,/events/Fury-FC-79-Fury-Fighting-Championship-79-97282,Fury FC 79 - Fury Fighting Championship 79,2023-05-07,Submission (Rear-Naked Choke),Kevin Nix,3,2:09
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Shea-Conley-312113,Shea Conley,/events/LFA-138-Farias-vs-Tanaka-93789,LFA 138 - Farias vs. Tanaka,2022-08-05,Decision (Unanimous),Marcio Laselva,3,5:00
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Jonathan-Jackson-42968,Jonathan Jackson,/events/AMF-Attitude-MMA-Fights-22-90481,AMF - Attitude MMA Fights 22,2021-09-25,Decision (Split),,5,5:00
/fighter/AJ-Cunningham-228033,pro,loss,/fighter/Javier-Garcia-159111,Javier Garcia,/events/LFA-102-Souza-vs-Johns-88722,LFA 102 - Souza vs. Johns,2021-03-19,Decision (Unanimous),Nick Berens,3,5:00
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Charles-Bridges-66884,Charles Bridges,/events/PF-Pyramid-Fights-16-88173,PF - Pyramid Fights 16,2020-12-05,KO (Right Uppercut),,2,3:57
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Jewel-Scott-77445,Jewel Scott,/events/iFF-1-iKon-Fighting-Federation-1-87638,iFF 1 - iKon Fighting Federation 1,2020-09-24,Decision (Unanimous),,3,5:00
/fighter/AJ-Cunningham-228033,pro,win,/fighter/Aaron-Ulroan-243875,Aaron Ulroan,/events/MMAX-FC-8-Mardi-Gras-Fight-Night-2-85519,MMAX FC 8 - Mardi Gras Fight Night 2,2020-06-20,KO (Head Kick),,1,1:29
/fighter/AJ-Cunningham-228033,pro,loss,/fighter/Chris-Hatley-Jr-216751,Chris Hatley Jr.,/events/PF-Pyramid-Fights-14-81647,PF - Pyramid Fights 14,2019-11-16,Decision (Unanimous),,3,5:00
