fid,sd_url
scott-morris,/fighter/Scott-Morris-24
sean-daugherty,/fighter/Sean-Daugherty-25
patrick-smith,/fighter/Patrick-Smith-21
ray-wizard,/fighter/Ray-Wizard-26
johnny-rhodes,/fighter/Johnny-Rhodes-27
david-levicki,/fighter/David-Levicki-28
frank-hamaker,/fighter/Frank-Hamaker-29
thaddeus-luster,/fighter/Thaddeus-Luster-30
orlando-wiet,/fighter/Orlando-Wiet-31
robert-lucarelli,/fighter/Robert-Lucarelli-32
remco-pardoel,/fighter/Remco-Pardoel-33
alberta-cerra-leon,/fighter/Alberto-Cerra-Leon-37
jason-delucia,/fighter/Jason-DeLucia-22
scott-baker,/fighter/Scott-Baker-34
royce-gracie,/fighter/Royce-Gracie-19
minoki-ichihara,/fighter/Minoki-Ichihara-35
fred-ettish,/fighter/Fred-Ettish-36
keith-hackney,/fighter/Keith-Hackney-38
emmanuel-yarborough,/fighter/Emmanuel-Yarborough-39
ken-shamrock,/fighter/Ken-Shamrock-4
christophe-leninger,/fighter/Christophe-Leininger-40
harold-howard,/fighter/Harold-Howard-41
roland-payne,/fighter/Roland-Payne-42
kimo-leopoldo,/fighter/Kimo-Leopoldo-43
felix-lee-mitchell,/fighter/Felix-Mitchell-45
steve-jennum,/fighter/Steve-Jennum-44
joe-charles,/fighter/Joe-Charles-46
kevin-rosier,/fighter/Kevin-Rosier-17
marcus-bossett,/fighter/Marcus-Bossett-54
eldo-xavier-dias,/fighter/Eldo-Dias-Xavier-55
guy-mezger,/fighter/Guy-Mezger-14
jason-fairn,/fighter/Jason-Fairn-48
ron-van-clief,/fighter/Ron-van-Clief-49
joe-son,/fighter/Joe-Son-50
melton-bowen,/fighter/Melton-Bowen-51
dan-severn,/fighter/Dan-Severn-52
anthony-macias,/fighter/Anthony-Macias-53
dave-beneteau,/fighter/Dave-Beneteau-56
asbel-cancio,/fighter/Asbel-Cancio-57
john-dowdy,/fighter/John-Dowdy-58
jon-hess,/fighter/Jon-Hess-59
andy-anderson,/fighter/Andy-Anderson-60
todd-medina,/fighter/Todd-Medina-61
larry-cureton,/fighter/Larry-Cureton-62
oleg-taktarov,/fighter/Oleg-Taktarov-47
ernie-verdicia,/fighter/Ernie-Verdicia-63
joel-sutton,/fighter/Joel-Sutton-107
jack-mcglaughlin,/fighter/Jack-McLaughlin-885
he-man-gipson,/fighter/HeMan-Ali-Gipson-109
david-abbott,/fighter/David-Abbott-110
john-matua,/fighter/John-Matua-111
paul-varelans,/fighter/Paul-Varelans-112
cal-worsham,/fighter/Cal-Worsham-113
rudyard-moncayo,/fighter/Rudyard-Moncayo-114
geza-kalman,/fighter/Geza-Kalman-115
onassis-parungao,/fighter/Onassis-Parungao-116
francesco-maturi,/fighter/Francesco-Maturi-117
scott-bessac,/fighter/Scott-Bessac-121
david-hood,/fighter/David-Hood-1720
gerry-harris,/fighter/Gerry-Harris-83
mark-hall,/fighter/Mark-Hall-118
ryan-parker,/fighter/Ryan-Parker-119
marco-ruas,/fighter/Marco-Ruas-120
trent-jenkins,/fighter/Trent-Jenkins-23
sam-adkins,/fighter/Sam-Adkins-122
keith-mielke,/fighter/Keith-Mielke-123
don-frye,/fighter/Don-Frye-124
thomas-ramirez,/fighter/Thomas-Ramirez-125
joe-moreira,/fighter/Joe-Moreira-126
jerry-bohlander,/fighter/Jerry-Bohlander-127
scott-ferrozzo,/fighter/Scott-Ferrozzo-128
gary-goodridge,/fighter/Gary-Goodridge-129
paul-herrera,/fighter/Paul-Herrera-130
steve-nelmark,/fighter/Steve-Nelmark-147
tai-bowden,/fighter/Tai-Bowden-6950
zane-frazier,/fighter/Zane-Frazier-18
rafael-carino,/fighter/Rafael-Carino-131
matt-andersen,/fighter/Matt-Andersen-132
mark-schultz,/fighter/Mark-Schultz-133
koji-kitao,/fighter/Koji-Kitao-134
amaury-bitetti,/fighter/Amaury-Bitetti-135
dieusel-berto,/fighter/Dieuseul-Berto-2007
brian-johnston,/fighter/Brian-Johnston-137
scott-fiedler,/fighter/Scott-Fiedler-138
mark-coleman,/fighter/Mark-Coleman-136
moti-horenstein,/fighter/Moti-Horenstein-139
john-campetella,/fighter/John-Campetella-140
