event,event_url,date
UFC on ESPN+ 1: Cejudo vs. Dillashaw,/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623,2019-01-19
UFC on ESPN+ 2: Assuncao vs. Moraes 2,/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628,2019-02-02
UFC 234: Adesanya vs. Silva,/events/ufc-234-adesanya-vs-silva-1620,2019-02-09
UFC on ESPN 1: Ngannou vs. Velasquez,/events/ufc-on-espn-1-ngannou-vs-velasquez-1637,2019-02-17
UFC on ESPN+ 3: Blachowicz vs. Santos,/events/ufc-on-espn-3-blachowicz-vs-santos-1638,2019-02-23
UFC 235: Jones vs. Smith,/events/ufc-235-jones-vs-smith-1625,2019-03-02
UFC on ESPN+ 4: Lewis vs. Dos Santos,/events/ufc-on-espn-4-lewis-vs-dos-santos-1639,2019-03-09
UFC on ESPN+ 5: Till vs. Masvidal,/events/ufc-on-espn-5-till-vs-masvidal-1626,2019-03-16
UFC on ESPN+ 6: Thompson vs. Pettis,/events/ufc-on-espn-6-thompson-vs-pettis-1654,2019-03-23
UFC on ESPN 2: Barboza vs. Gaethje,/events/ufc-on-espn-2-barboza-vs-gaethje-1648,2019-03-30
UFC 236: Holloway vs. Poirier 2,/events/ufc-236-holloway-vs-poirier-2-1666,2019-04-13
UFC on ESPN+ 7: Overeem vs. Oleinik,/events/ufc-on-espn-7-overeem-vs-oleinik-1673,2019-04-20
UFC on ESPN+ 8: Jacare vs. Hermansson,/events/ufc-on-espn-8-jacare-vs-hermansson-1657,2019-04-27
UFC on ESPN+ 9: Iaquinta vs. Cowboy,/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672,2019-05-04
UFC 237: Namajunas vs. Andrade,/events/ufc-237-namajunas-vs-andrade-1647,2019-05-11
UFC on ESPN+ 10: Dos Anjos vs. Lee,/events/ufc-on-espn-10-dos-anjos-vs-lee-1674,2019-05-18
UFC on ESPN+ 11: Gustafsson vs. Smith,/events/ufc-on-espn-11-gustafsson-vs-smith-1676,2019-06-01
UFC 238: Cejudo vs. Moraes,/events/ufc-238-cejudo-vs-moraes-1677,2019-06-08
UFC on ESPN+ 12: Moicano vs. The Korean Zombie,/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680,2019-06-22
UFC on ESPN 3: Ngannou vs. Dos Santos,/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687,2019-06-29
UFC 239: Jones vs. Santos,/events/ufc-239-jones-vs-santos-1686,2019-07-06
UFC on ESPN+ 13: De Randamie vs. Ladd,/events/ufc-on-espn-13-de-randamie-vs-ladd-1714,2019-07-13
UFC on ESPN 4: Dos Anjos vs. Edwards,/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717,2019-07-20
UFC 240: Holloway vs. Edgar,/events/ufc-240-holloway-vs-edgar-1713,2019-07-27
UFC on ESPN 5: Covington vs. Lawler,/events/ufc-on-espn-5-covington-vs-lawler-1734,2019-08-03
UFC on ESPN+ 14: Shevchenko vs. Carmouche 2,/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724,2019-08-10
UFC 241: Cormier vs. Miocic 2,/events/ufc-241-cormier-vs-miocic-2-1709,2019-08-17
UFC on ESPN+ 15: Andrade vs. Zhang,/events/ufc-on-espn-15-andrade-vs-zhang-1733,2019-08-31
UFC 242: Khabib vs. Poirier,/events/ufc-242-khabib-vs-poirier-1715,2019-09-07
UFC on ESPN+ 16: Cowboy vs. Gaethje,/events/ufc-on-espn-16-cowboy-vs-gaethje-1735,2019-09-14
UFC on ESPN+ 17: Rodriguez vs. Stephens,/events/ufc-on-espn-17-rodriguez-vs-stephens-1753,2019-09-21
UFC on ESPN+ 18: Hermansson vs. Cannonier,/events/ufc-on-espn-18-hermansson-vs-cannonier-1747,2019-09-28
UFC 243: Whittaker vs. Adesanya,/events/ufc-243-whittaker-vs-adesanya-1752,2019-10-05
UFC on ESPN+ 19: Joanna vs. Waterson,/events/ufc-on-espn-19-joanna-vs-waterson-1751,2019-10-12
UFC on ESPN 6: Reyes vs. Weidman,/events/ufc-on-espn-6-reyes-vs-weidman-1764,2019-10-18
UFC on ESPN+ 20: Maia vs. Askren,/events/ufc-on-espn-20-maia-vs-askren-1793,2019-10-26
UFC 244: Masvidal vs. Diaz,/events/ufc-244-masvidal-vs-diaz-1771,2019-11-02
UFC on ESPN+ 21: Zabit vs. Kattar,/events/ufc-on-espn-21-zabit-vs-kattar-1795,2019-11-09
UFC on ESPN+ 22: Blachowicz vs. Jacare,/events/ufc-on-espn-22-blachowicz-vs-jacare-1755,2019-11-16
UFC on ESPN 7: Overeem vs. Rozenstruik,/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785,2019-12-07
UFC 245: Usman vs. Covington,/events/ufc-245-usman-vs-covington-1787,2019-12-14
UFC on ESPN+ 23: Edgar vs. The Korean Zombie,/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803,2019-12-21
UFC 246: McGregor vs. Cowboy,/events/ufc-246-mcgregor-vs-cowboy-1839,2020-01-18
UFC on ESPN+ 24: Blaydes vs. Dos Santos,/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841,2020-01-25
UFC 247: Jones vs. Reyes,/events/ufc-247-jones-vs-reyes-1837,2020-02-08
UFC on ESPN+ 25: Anderson vs. Blachowicz 2,/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848,2020-02-15
UFC on ESPN+ 26: Felder vs. Hooker,/events/ufc-on-espn-26-felder-vs-hooker-1846,2020-02-22
UFC on ESPN+ 27: Benavidez vs. Figueiredo,/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862,2020-02-29
UFC 248: Adesanya vs. Romero,/events/ufc-248-adesanya-vs-romero-1849,2020-03-07
UFC on ESPN+ 28: Lee vs. Oliveira,/events/ufc-on-espn-28-lee-vs-oliveira-1847,2020-03-14
UFC 249: Ferguson vs. Gaethje,/events/ufc-249-ferguson-vs-gaethje-1875,2020-05-09
UFC on ESPN+ 29: Smith vs. Teixeira,/events/ufc-on-espn-29-smith-vs-teixeira-1876,2020-05-13
UFC on ESPN 8: Overeem vs. Harris,/events/ufc-on-espn-8-overeem-vs-harris-1908,2020-05-16
UFC on ESPN 9: Woodley vs. Burns,/events/ufc-on-espn-9-woodley-vs-burns-1910,2020-05-30
UFC 250: Nunes vs. Spencer,/events/ufc-250-nunes-vs-spencer-1909,2020-06-06
UFC on ESPN 10: Eye vs. Calvillo,/events/ufc-on-espn-10-eye-vs-calvillo-1898,2020-06-13
UFC on ESPN 11: Blaydes vs. Volkov,/events/ufc-on-espn-11-blaydes-vs-volkov-1897,2020-06-20
UFC on ESPN 12: Poirier vs. Hooker,/events/ufc-on-espn-12-poirier-vs-hooker-1895,2020-06-27
UFC 251: Usman vs. Masvidal,/events/ufc-251-usman-vs-masvidal-1890,2020-07-11
UFC on ESPN 13: Kattar vs. Ige,/events/ufc-on-espn-13-kattar-vs-ige-1917,2020-07-15
UFC on ESPN+ 30: Figueiredo vs. Benavidez 2,/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913,2020-07-18
