title,date
The Ultimate Fighter 1 Finale,2026-03-01
The Ultimate Fighter 2 Finale,2026-03-01
The Ultimate Fighter 3 Finale,2026-03-01
The Ultimate Fighter 4 Finale,2026-03-01
The Ultimate Fighter 5 Finale,2026-03-01
The Ultimate Fighter: Heavyweights Finale,2026-03-01
The Ultimate Fighter: Team Bisping vs. Team Miller Finale,2013-02-01
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,2026-03-01
The Ultimate Fighter: Team Lesnar vs. Team dos Santos Finale,2026-03-01
The Ultimate Fighter: Team Liddell vs. Team Ortiz Finale,2026-03-01
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2017-02-01
The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2026-03-01
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01
UFC 1,1993-11-12
UFC 10,1996-07-12
UFC 100,2009-07-11
UFC 101,2009-08-08
UFC 102,2009-08-29
UFC 103,2009-09-19
UFC 104,2009-10-24
UFC 105,2022-04-01
UFC 106,2009-11-21
UFC 107,2009-12-12
UFC 108,2010-01-02
UFC 109,2012-05-01
UFC 11,1996-09-20
UFC 110,2011-08-01
UFC 111,2010-03-27
UFC 112,2010-04-10
UFC 113,2010-05-08
UFC 114,2010-05-29
UFC 115,2010-06-12
UFC 116,2010-07-03
UFC 117,2010-08-07
UFC 118,2010-08-28
UFC 119,2010-09-25
UFC 12,1997-02-07
UFC 120,2022-04-01
UFC 121,2010-10-23
UFC 122,2010-11-13
UFC 123,2010-11-20
UFC 124,2010-12-11
UFC 125,2011-01-01
UFC 126,2011-02-05
UFC 127,2021-02-01
UFC 128,2011-03-19
UFC 129,2011-04-30
UFC 13,1997-05-30
UFC 130,2011-05-28
UFC 131,2011-06-11
UFC 132,2011-07-02
UFC 133,2011-08-06
UFC 134,2011-08-27
UFC 135,2011-09-24
UFC 136,2011-10-08
UFC 137,2011-10-29
UFC 138,2022-04-01
UFC 139,2011-11-19
UFC 14,1997-07-27
UFC 140,2011-12-10
UFC 141,2011-12-30
UFC 142,2012-01-14
UFC 143,2012-02-04
UFC 144,2012-02-26
UFC 145,2012-04-21
UFC 146,2012-05-26
UFC 147,2012-06-23
UFC 148,2012-07-07
UFC 15,1997-10-17
UFC 150,2012-08-11
UFC 152,2012-09-22
UFC 153,2012-10-13
UFC 154,2012-11-17
UFC 155,2012-12-29
UFC 156,2013-02-02
UFC 157,2013-02-23
UFC 158,2013-03-16
UFC 159,2013-04-27
UFC 16,1998-03-13
UFC 160,2013-05-25
UFC 161,2013-06-15
UFC 162,2013-07-06
UFC 163,2013-08-03
UFC 164,2013-08-31
UFC 165,2013-09-21
UFC 166,2013-10-19
UFC 167,2013-11-16
UFC 168,2013-12-28
UFC 169,2014-02-01
UFC 17,1998-05-15
UFC 170,2014-02-22
UFC 171,2014-03-15
UFC 172,2014-04-26
UFC 173,2014-05-24
UFC 174,2014-06-14
UFC 175,2014-07-05
UFC 177,2014-08-30
UFC 178,2014-09-27
UFC 179,2014-10-25
UFC 18,1999-01-08
UFC 180,2014-11-15
UFC 181,2014-12-06
UFC 182,2014-12-01
UFC 183,2015-01-31
UFC 184,2015-02-28
UFC 185,2015-03-14
