title,date,sentence
The Ultimate Fighter 4 Finale,2026-03-01,"The bout was originally to be for Silva's UFC Middleweight Championship, however, the bout was changed to a non-title bout when Lutter failed to make weight."
The Ultimate Fighter 5 Finale,2026-03-01,"He immediately expels both Sims and Thomas from the show, as well as Allen Berube, who instigated the match and told them they would not get kicked out for fighting. * With Thomas and Berube kicked off the show because of the fight and Gabe Ruediger kicked off because of missing weight and Andy Wang kicked off the team and sent to Team Pulver; this leaves Team Penn with only 4 fighters (Lauzon, Maynard, Wiman, and Rob Emerson). * '''Joe Lauzon''' defeats Cole Miller by TKO (strikes) at 3:58 in the second round. * Lauzon, when he had pinned Miller down early in the second round, strikes the Team Pulver member on the back of the head with an elbow and was assessed a point deduction."
The Ultimate Fighter 5 Finale,2026-03-01,"Pulver wins the best-of-three series, the cash and a thousand dollar bonus for each member of his team. *'''Nate Diaz''' defeats Gray Maynard by submission (guillotine choke) at 1:17 in the second round. *Diaz moves into the finale to face his teammate Manny Gamburyan. ==Tournament Bracket== ''* Gabe Ruediger missed weight and was expelled from the show."
The Ultimate Fighter: Team GSP vs. Team Koscheck Finale,2026-03-01,"Nick Pace missed weight for his bantamweight bout against Will Campuzano, missing the 135 mark by three pounds."
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01,"Henderson defeated Bisping at the event via second-round knockout. ==Cast== ===Coaches=== * '''Team United States''' ** Dan Henderson, head coach ** Cyrille Diabaté, Muay Thai instructor ** Ricardo Feliciano, Jiu-Jitsu instructor ** Gustavo Pugliese, Boxing instructor ** Heath Sims, Wrestling instructor * '''Team United Kingdom''' ** Michael Bisping, head coach ** Dave Jackson, Thai Boxing instructor ** Mario Neto, Brazilian jiu-jitsu instructor ===Fighters=== * '''Team United States''' ** '''Lightweights''': Santino DeFranco, Jason Dent, Cameron Dollar, Richie Whitson ** '''Welterweights''': DaMarques Johnson, Frank Lester, Mark Miller, Jason Pierce * '''Team United Kingdom''' ** '''Lightweights''': Jeff Lawson, Ross Pearson, Martin Stapleton, Andre Winner ** '''Welterweights''': Dean Amasinger, David Faulkner, Nick Osipczak, James Wilks * '''US Fighters Eliminated in or before Entry Round:''' ** '''Lightweights''': Paul Bird, John David-Shackelford (failed medical exam), Tommy Hayden, Waylon Lowe, Rob Browning ** '''Welterweights''': Steve Berger, Ray Elbe, Christian Fulgium (failed to make weight), Kevin Knabjian, Kiel Reid * '''UK Fighters Eliminated in Entry Round:''' ** '''Lightweights''': James Bryan, Dan James, Gary Kelly, A.J."
The Ultimate Fighter: United States vs. United Kingdom Finale,2026-03-01,He couldn't fight with it and was excused from the show. * Christian Fulgium failed to make weight at his first attempt at weighing in.
UFC 117,2010-08-07,The Fitch/Alves fight was changed to catchweight status after Alves weighed in at 171.5&nbsp;lb; 0.5&nbsp;lb over the 171&nbsp;lb welterweight limit for non title fights.
UFC 150,2012-08-11,"At the weigh-ins, Melvin Guillard was the only one of 20 fighters who missed weight."
UFC 152,2012-09-22,"At the weigh-ins, Charles Oliveira failed to make weight by four tenths of pound on his first try."
UFC 159,2013-04-27,"However, at the weigh ins Catone missed weight and the bout was subsequently pulled from the card the day of the show after Catone went to the hospital for dehydration."
UFC 168,2013-12-28,"Brandão re-weighed and was 151.5, but was still fined 25% of his purse for missing weight. "
UFC 179,2014-10-25,"During weigh ins, three fighters missed weight: Scott Jorgensen (128 lb), Fabrício Camões (158 lb) and Tony Martin (157 lb)."
UFC 182,2014-12-01,"Alexis Dufresne missed weight on her first attempt at the weigh ins, weighing in at 138 pounds."
UFC 183,2015-01-31,"Both Kelvin Gastelum and John Lineker missed weight on their first attempts at the weigh ins, coming in at 180 lb and 130 lb respectively."
UFC 183,2015-01-31,This marked the fourth time that Lineker missed weight in his UFC career.
UFC 185,2015-03-14,"Daron Cruickshank missed weight on his first attempt at the weigh ins, coming in at 157.5 pounds."
UFC 185,2015-03-14,"He was given additional time to make the lightweight limit, but missed weight again, coming in at 157 pounds."
UFC 187,2015-05-23,"Nina Ansaroff missed weight on her first attempt at the weigh-ins, coming in 4 lb overweight at 120 lb."
UFC 189,2015-07-11,"Jeremy Stephens missed weight on his first attempt, coming in 3.5 lb overweight at 149.5 lb."
UFC 192,2015-10-03,"Francisco Treviño missed weight on his first attempt at the weigh ins, coming in at 160 lb."
UFC 200,2016-07-09,"Former PRIDE Lightweight Champion Takanori Gomi and Jim Miller were chosen to open the event in a lightweight bout. ===Weigh-ins=== At the weigh-ins, Hendricks missed weight by a quarter of a pound, weighing in at 171.25 lb."
UFC 203,2016-09-10,"Michael McBride missed weight, coming in at 158 lb."
UFC 205,2016-11-12,"Prior to this announcement, Cerrone had already successfully weighed in at 170.4 lb, meaning he was unable to subsequently rehydrate as Miller did, to keep within 7 pounds of his over-weight opponent."
UFC 205,2016-11-12,"As a result, Gastelum was pulled from the card and UFC president Dana White stated he will never let him fight at welterweight in the organization again, and that he believes Gastelum missed weight by 10 pounds."
UFC 207,2016-12-30,"At the weigh-ins, former UFC Welterweight Champion Johny Hendricks and Ray Borg missed weight for their bouts, weighing in at 173.5 lb and 129.5 lb, respectively."
UFC 222,2018-03-03,Anders but was scrapped from the event after Munhoz missed weight and Dodson did not agree to fight at a catchweight.
UFC 224,2018-05-12,"At the weigh-ins, Mackenzie Dern weighed in at 123 pounds, seven pounds over the strawweight non-title fight upper limit of 116 pounds."
UFC 225,2018-06-09,"However at the weigh-ins, Romero initially weighed in at 186 pounds, 1 pound over the middleweight limit for a title fight."
UFC 226,2018-07-07,"At the weigh-ins, Chiesa weighed in at 157.5 pounds, 1.5 pounds over the lightweight non-title fight limit of 156 pounds."
UFC 230,2018-11-03,"Eubanks weighed in at 127.2 pounds, 1.2 pound over the flyweight non-title fight limit of 126."
UFC 230,2018-11-03,"Meanwhile, Kelleher weighed in at 137 pounds, 1 pound over the bantamweight non-title fight limit of 136."
UFC 232,2018-12-29,"At the weigh-ins, Jackson weighed in at 137 lb, 1 pound over the bantamweight non-title fight limit of 136 lb."
UFC 237,2019-05-11,"At the weigh-ins, Correia weighed in at 141 pounds, 5 pounds over the women's bantamweight non-title fight limit of 136."
UFC 241,2019-08-17,"According to Kenney, he received a part of Bermudez's purse despite him not technically missing weight. "
UFC 242,2019-09-07,"At the weigh-ins, Sarah Moras weighed in at 138 pounds, 2 pounds over the bantamweight non-title fight limit of 136."
UFC 243,2019-10-06,"Taha weighed in at 137 pounds, 1 pound over the bantamweight non-title fight limit of 136."
UFC 243,2019-10-06,"Meanwhile, Kim weighed in at 128 pounds, 2 pounds over the flyweight non-title fight limit of 126."
UFC 244,2022-07-01,"However, Jotko was removed from the card in early October for undisclosed reasons and replaced by Brad Tavares. ===Weigh-ins=== At the weigh-ins, former Invicta FC Flyweight Champion Jennifer Maia weighed in at 127.2 pounds, 1.2 pounds over the flyweight non-title fight limit of 126 pounds."
UFC 245,2019-12-14,"At the weigh-ins, former UFC Women's Flyweight Championship challenger Jessica Eye failed to make weight, coming in at 131 pounds, five pounds over the flyweight non-title fight limit of 126 pounds."
UFC 246,2020-01-18,"However, on the day of the weigh-ins, Grasso weighed in at 121.5 pounds, 5.5 pounds over the strawweight non-title fight limit of 116 pounds."
UFC 248,2020-03-07,"At the weigh-ins, Emily Whitmire weighed in at 117.5 pounds, 1.5 pounds over the strawweight non-title fight limit of 116 pounds."
UFC 249,2020-05-09,"At the weigh-ins, Jeremy Stephens weighed in at 150.5 pounds, four and a half pounds over the featherweight non-title fight limit."
UFC 251,2020-07-12,"At the weigh-ins, Raulian Paiva and Vanessa Melo missed weight for their respective bouts."
UFC 251,2020-07-12,"Paiva weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC 251,2020-07-12,"Melo weighed in at 141 pounds, five pounds over the bantamweight non-title fight limit."
UFC 252,2020-08-15,Brown missed weight for their respective featherweight bouts.
UFC 252,2020-08-15,"Burns weighed in at 149.5 pounds, three and a half pounds over the non-title fight limit."
UFC 252,2020-08-15,"Brown weighed in at 146.5 pounds, half a pound over the non-title fight limit."
UFC 253,2020-09-01,"At the weigh-ins, Zubaira Tukhugov and Ľudovít Klein missed weight for their respective featherweight bouts."
UFC 253,2020-09-01,"Both fighters weighed in at 150 pounds, four pounds over the non-title fight limit."
UFC 254,2020-10-24,"At the weigh-ins, Alex Oliveira and Joel Álvarez missed weight for their respective bouts."
UFC 254,2020-10-24,"Oliveira weighed in at 173 pounds, two pounds over the welterweight non-title fight limit. Álvarez weighed in at 159.5 pounds, three and a half pounds over the lightweight non-title fight limit."
UFC 255,2020-11-21,"At the weigh-ins, Perry weighed in at 175.5 pounds, four and a half pounds over the welterweight non-title fight limit."
UFC 257,2021-01-24,"Haqparast withdrew from the bout due to an undisclosed illness and Tsarukyan weighed in at 157 pounds, one pound over the lightweight non-title fight limit."
UFC 257,2021-01-24,"Subsequently, Tsarukyan forfeited 20% of his purse to Frevola as a result of missing weight. "
UFC 259,2021-03-06,"Adesanya did not cut weight for the fight, weighing in at 201.5 pounds, while Błachowicz weighed in at 205 pounds and expected to come in at over 220 pounds on fight night."
UFC 259,2021-03-06,"At the weigh-ins, Askar Askarov weighed in at 127 pounds, one pound over the flyweight non-title fight limit."
UFC 262,2021-05-15,"At the weigh-ins, Bontorin weighed in at 137 pounds, one pound over the division's non-title fight limit."
UFC 263,2021-06-12,"At the weigh-ins, Steven Peterson weighed in at 148.5 pounds, two and a half pounds over the featherweight non-title fight limit."
UFC 264,2021-07-10,"At the weigh-ins, Irene Aldana weighed in at 139.5 pounds, three and a half pounds over the bantamweight non-title fight limit."
UFC 265,2021-08-07,"At the weigh-ins, former Rizin Bantamweight Champion Manel Kape weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC 267,2021-10-30,"However at the weigh-ins, Ismagulov came in at 163.5 pounds, missing weight by seven and half pounds over the lightweight non-title fight limit."
UFC 268,2021-11-06,"At the weigh-ins, Luque weighed in at 172.2 pounds, 2.2 pounds over the welterweight title fight limit making him ineligible to compete for the title."
UFC 268,2021-11-06,"At the weigh-ins, Souza weighed in at 148.4 pounds, 2.4 pounds over the featherweight non-title fight limit."
UFC 268,2021-11-06,"Vergara weighed in at 127.4 pounds, 1.4 pounds over the flyweight non-title fight limit."
UFC 269,2021-12-11,"At the weigh-ins, Priscila Cachoeira weighed in at 129 pounds, 3 pounds over the flyweight non-title fight limit."
UFC 271,2022-02-12,"At the weigh-ins, Knight weighed in at 218 pounds, 12 pounds over the light heavyweight non-title fight limit, marking the biggest weight miss in UFC history."
UFC 273,2022-04-09,"At the weigh-ins, Kay Hansen and Julio Arce missed weight for their bouts."
UFC 273,2022-04-09,"Hansen weighed in at 118.5 pounds, 2.5 pounds over the strawweight non-title fight limit."
UFC 273,2022-04-09,"Arce weighed in at 136.5 pounds, half a pound over the bantamweight non-title fight limit."
UFC 274,2022-05-07,"At the weigh-ins, Oliveira weighed in at 155.5 pounds, half a pound over the title limit."
UFC 274,2022-05-07,"At the weigh-ins, Norma Dumont weighed in at 146.5 pounds, half a pound over the women's featherweight non-title fight limit."
UFC 277,2022-07-30,"At the weigh-ins, two fighters missed weight for their respective bouts."
UFC 277,2022-07-30,"Joselyne Edwards weighed in at 137.5 pounds, one and a half pounds over the bantamweight non-title fight limit."
UFC 277,2022-07-30,"Orion Cosce weighed in at 172.5 pounds, one and a half pounds over the welterweight non-title fight limit."
UFC 279,2022-09-10,"However, Chimaev weighed in at 178.5 pounds, exceeding the non-title welterweight limit by 7.5 pounds, leading to the bout's cancellation."
UFC 279,2022-09-10,"In addition to Chimaev missing weight, featherweight Hakeem Dawodu and heavyweight Chris Barnett both missed weight as well."
UFC 279,2022-09-10,"Dawodu weighed at 149.5 pounds, 3.5 pounds over the non-title featherweight limit, while Barnett weighed in at 267.5 pounds, 1.5 pounds over the non-title heavyweight limit."
UFC 280,2022-10-22,Oliveira was stripped of the title at UFC 274 when he failed to make weight for his attempted title defense against former interim champion (also former WSOF Lightweight Champion) Justin Gaethje.
UFC 280,2022-10-22,"At the weigh-ins, Chookagian weighed in at 127.5 pounds, one and a half pounds over the flyweight non-title fight limit."
UFC 281,2022-11-12,"At the weigh-ins, Ryan Spann and The Ultimate Fighter: Undefeated lightweight winner Michael Trizano missed weight."
UFC 281,2022-11-12,"Spann weighed in at 206.6 pounds, six tenths of a pound over the light heavyweight non-title fight limit."
UFC 281,2022-11-12,"Trizano weighed in at 147.6 pounds, one and six tenths of a pound over the featherweight non-title fight limit."
UFC 282,2022-12-10,"However, after the official weigh-ins, in which da Silva weighed in at 129 pounds, three pounds over the flyweight non-title fight limit, it was announced he had been pulled from the card due to an undisclosed medical issue and the bout was scrapped. "
UFC 283,2023-01-21,"Gastelum in April 2021, but on the day of the weigh-ins Fairn weighed in at 147 pounds, eight pounds over the pre-established limit of 139 pounds (the bout was originally set for the women's bantamweight division, but was shifted to a catchweight prior to the start of the weigh-ins)."
UFC 284,2023-02-12,"At the weigh-ins, Tukhugov weighed in at 157.5 pounds, one and a half pound over the lightweight non-title fight limit."
UFC 284,2023-02-12,"Also at the weigh-ins, Kleydson Rodrigues missed weight."
UFC 284,2023-02-12,"He weighed in at 127 pounds, one pound over the flyweight non-title fight limit."
UFC 285,2023-03-04,"At the weigh-ins, Neal weighed in at 175 pounds, four pounds over the welterweight non-title fight limit."
UFC 285,2023-03-04,"Also at the weigh-ins, Leomana Martinez weighed in at 137 pounds, one pound over the bantamweight non-title fight limit."
UFC 286,2023-03-18,"At the weigh-ins, Malcolm Gordon weighed in at 129.5 pounds, three and a half pounds over the flyweight non-title fight limit."
UFC 287,2023-04-08,"At the weigh-ins, Christian Rodriguez weighed in at 137 pounds, one pound over the bantamweight non-title fight limit."
UFC 288,2023-05-06,"At the weigh-ins, Joseph Holmes weighed in at 189 pounds, three pounds over the middleweight non-title fight limit."
UFC 290,2023-07-08,"At the weigh-ins, Turner weighed in at 158 pounds, two pounds over the lightweight non-title fight limit."
UFC 291,2023-07-29,"At the weigh-ins, Pereira weighed in at 174 pounds, three pounds over the welterweight non-title fight limit."
UFC 291,2023-07-29,"At the weigh-ins, Vinicius Salvador weighed in at 128.5 pounds, two and a half pounds over the flyweight non-title fight limit."
UFC 293,2023-09-10,"At the weigh-ins, Shane Young weighed in at 149.75 pounds, three and three-quarters pounds over the featherweight non-title fight limit."
UFC 294,2023-10-21,"At the weigh-ins, Victoria Dudakova weighed in at 116.6 pounds, 0.6 pounds over the strawweight non-title fight limit."
UFC 294,2023-10-21,"Mike Breeden weighed in at 159.5 pounds, three and a half pounds over the lightweight non-title fight limit."
UFC 297,2024-01-20,"At the weigh-ins, Ramon Taveras and Malcolm Gordon missed weight."
UFC 297,2024-01-20,"Taveras weighed in at 139.75 pounds, three and three quarters pounds over the bantamweight non-title fight limit."
UFC 297,2024-01-20,"Gordon weighed in at 127.5 pounds, one and a half pounds over the flyweight non-title fight limit."
UFC 299,2024-03-09,"Vergara weighed in at 127 pounds, one pound over the flyweight non-title fight limit."
UFC 301,2024-05-04,Lewis but the bout was scrapped after Bonfim missed weight.
UFC 302,2024-06-01,"At the weigh ins, Lima weighed in at 130 pounds, four pounds over the flyweight non-title fight limit."
UFC 303,2024-06-29,"At the weigh-ins, Jean Silva weighed in at 147.5 pounds, one and a half pounds over the featherweight non-title fight limit."
UFC 304,2024-07-27,"At the weigh-ins, Hadley weighed in at 137 pounds, half a pound over the bantamweight non-title fight limit."
UFC 305,2024-08-18,"At the weigh-ins, Jesús Santos Aguilar weighed in at 127.5 pounds, one and a half pounds over the flyweight non-title fight limit."
UFC 308,2024-10-26,"In addition, at the weigh-ins, the originally contracted bantamweight bout between Farid Basharat and Victor Hugo was changed to a featherweight bout after Hugo weighed in at 145.5 pounds, 9.5 pounds over the bantamweight non-title fight limit; although Basharat weighed in at 137 pounds, he agreed to allow the fight to take place at featherweight. "
UFC 310,2024-12-07,"Team Ortega middleweight tournament winner Bryan Battle weighed in at 175 pounds, four pounds over the welterweight non-title fight limit."
UFC 314,2025-04-12,"At the weigh-ins, Cornolle weighed in at 137.5 pounds, one and a half pounds over the bantamweight non-title fight limit."
UFC 315,2025-05-10,"Instead, Zahabi stopped his weight cut and had to rehydrate for a fight at featherweight so he could be close enough to Aldo's missed weight to avoid the fight being scrapped entirely."
UFC 315,2025-05-10,"In addition, at the weigh-ins, Bruno Silva weighed in at 187 pounds, a pound over the weight non-title fight limit."
UFC 316,2025-06-07,"At the weigh-ins, former KSW Women's Flyweight Champion Ariane da Silva weighed in at 132 pounds, six pounds over the flyweight non-title fight limit."
UFC 318,2025-07-19,"However, the promotion opted to book them on short notice against different opponents at the same event, mainly due to Khamzat Chimaev missing weight by nearly 10 pounds for his headliner bout (Holland and Chimaev ended up facing each other in the co-main event)."
UFC 319,2025-08-16,"Team Ortega middleweight tournament winner Bryan Battle weighed in at 190 pounds, four pounds over the middleweight non-title fight limit."
UFC 320,2025-10-04,"At the weigh-ins, The Ultimate Fighter: Heavy Hitters featherweight winner Macy Chiasson weighed in at 137.5 pounds, one and a half pounds over the women's bantamweight non-title fight limit."
UFC 321,2025-10-25,"At the weigh-ins, two fighters missed weight: *Jose Miguel Delgado weighed in at 147 pounds, one pound over the featherweight non-title fight limit. *Azat Maksum weighed in at 129 pounds, three pounds over the flyweight non-title fight limit."
UFC 322,2025-11-15,"At the weigh-ins, Beneil Dariush weighed in at 157.2 pounds, 1.2 pounds over the lightweight non-title fight limit."
UFC 323,2025-12-06,"At the weigh-ins, Santos weighed in at 147.5 pounds, 1.5 pounds over the featherweight non-title fight limit."
UFC 323,2025-12-06,"Also at the weigh-ins, Brunno Ferreira weighed in at 189 pounds, 3 pounds over the middleweight non-title fight limit."
