feature,n_rep,gain_bits_per_100,r_disc,r_rep,same_sign,acc_rep
selo_strike,2812,2.414,0.12,0.152,True,0.585
d_sig_share,2812,2.328,0.143,0.174,True,0.579
c_sig_share,2812,2.25,0.137,0.167,True,0.567
d_slpm_minus_sapm,2812,2.002,0.139,0.164,True,0.573
age,2806,1.93,-0.138,-0.187,True,0.574
c_slpm_minus_sapm,2812,1.902,0.131,0.154,True,0.569
c_tapm,2812,1.735,-0.113,-0.139,True,0.561
d_tapm,2812,1.545,-0.112,-0.145,True,0.555
win_rate_s,2812,1.417,0.082,0.115,True,0.546
age_debut,2806,1.378,-0.072,-0.128,True,0.564
elo_fast,2812,1.277,0.054,0.102,True,0.551
glicko,2812,1.222,0.08,0.098,True,0.55
elo_new,2812,1.216,0.064,0.096,True,0.552
dec_margin_avg,1665,1.119,0.085,0.111,True,0.551
d_adj_sapm,2812,1.107,-0.131,-0.121,True,0.554
elo_mov,2812,1.104,0.048,0.093,True,0.554
d_sig_def,2812,1.099,0.092,0.122,True,0.549
c_adj_sapm,2812,1.009,-0.129,-0.114,True,0.556
d_head_def,2812,0.984,0.104,0.127,True,0.546
elo,2812,0.958,0.045,0.086,True,0.549
d_adj_def,2812,0.942,0.091,0.105,True,0.537
c_o_head_pm,2812,0.918,-0.116,-0.102,True,0.542
avg_gap_days,1704,0.882,-0.09,-0.073,True,0.553
d_o_head_pm,2812,0.879,-0.12,-0.115,True,0.537
d_sapm,2812,0.838,-0.115,-0.112,True,0.545
c_sapm,2812,0.829,-0.102,-0.099,True,0.548
over_exp_all,2200,0.813,0.074,0.083,True,0.554
c_sig_def,2812,0.8,0.086,0.107,True,0.532
c_head_def,2812,0.798,0.107,0.111,True,0.536
d_o_clinch_pm,2812,0.771,-0.048,-0.093,True,0.544
c_adj_def,2812,0.724,0.078,0.091,True,0.535
streak,2812,0.709,0.068,0.108,True,0.515
d_o_ground_pm,2812,0.688,-0.068,-0.095,True,0.555
c_o_clinch_pm,2812,0.669,-0.035,-0.086,True,0.539
c_ground_pm,2812,0.61,0.059,0.091,True,0.528
d_adj_acc,2812,0.607,0.059,0.075,True,0.545
c_o_ground_pm,2812,0.592,-0.078,-0.081,True,0.547
d_ground_pm,2812,0.548,0.065,0.09,True,0.526
d_adj_ctrl,2812,0.546,0.072,0.079,True,0.524
d_kd_abs15,2812,0.493,-0.098,-0.083,True,0.542
c_kd_abs15,2812,0.487,-0.094,-0.076,True,0.534
c_adj_ctrl,2812,0.485,0.061,0.07,True,0.529
d_o_body_pm,2812,0.485,-0.043,-0.067,True,0.532
d_head_acc,2812,0.47,0.051,0.073,True,0.532
tenure_days,2812,0.432,-0.11,-0.11,True,0.526
c_adj_acc,2812,0.424,0.053,0.061,True,0.534
ko_loss_rate,2207,0.409,-0.089,-0.082,True,0.491
c_o_body_pm,2812,0.407,-0.026,-0.058,True,0.53
selo_grapple,2812,0.4,0.093,0.086,True,0.541
