k,init_debut,mov,layoff_regress,new_k_boost,ll_tune_05_14,ll_dev_15_20,slope
90,1450,1.0,0.0,2.0,0.6735,0.6816,0.00221
90,1500,1.0,0.0,2.0,0.6735,0.6816,0.00221
60,1500,1.0,0.0,2.0,0.6746,0.6825,0.00318
60,1450,1.0,0.0,2.0,0.6746,0.6825,0.00318
90,1500,1.5,0.0,2.0,0.6753,0.6804,0.00147
90,1450,1.5,0.0,2.0,0.6753,0.6804,0.00147
60,1450,1.5,0.0,2.0,0.6757,0.6807,0.00221
60,1500,1.5,0.0,2.0,0.6757,0.6807,0.00221
90,1450,1.0,0.1,2.0,0.6758,0.6787,0.00221
90,1450,1.5,0.0,0.0,0.6758,0.6813,0.00318
90,1500,1.5,0.0,0.0,0.6758,0.6813,0.00318
90,1450,1.0,0.0,0.0,0.6759,0.6824,0.0044
90,1500,1.0,0.0,0.0,0.6759,0.6824,0.0044
40,1500,1.0,0.0,2.0,0.6761,0.6835,0.0044
90,1500,1.0,0.1,2.0,0.6761,0.6784,0.00221
40,1450,1.0,0.0,2.0,0.6761,0.6835,0.0044
60,1450,1.0,0.1,2.0,0.6762,0.6791,0.00318
90,1450,1.0,0.1,0.0,0.6763,0.6794,0.00464
40,1450,1.5,0.0,2.0,0.6764,0.6816,0.00342
40,1500,1.5,0.0,2.0,0.6764,0.6816,0.00342
90,1500,1.0,0.1,0.0,0.6764,0.6782,0.00464
90,1450,1.5,0.1,0.0,0.6765,0.6781,0.00342
60,1500,1.0,0.1,2.0,0.6765,0.6784,0.00318
60,1450,1.5,0.1,2.0,0.6767,0.6777,0.00245
90,1500,1.5,0.1,0.0,0.6767,0.6773,0.00342
60,1500,1.5,0.1,2.0,0.677,0.6773,0.00245
60,1500,1.5,0.0,0.0,0.6771,0.6826,0.00464
60,1500,1.0,0.1,0.0,0.6771,0.6789,0.00683
40,1450,1.0,0.1,2.0,0.6771,0.6801,0.0044
60,1450,1.5,0.0,0.0,0.6771,0.6826,0.00464
60,1500,1.5,0.1,0.0,0.6771,0.6778,0.00513
60,1450,1.5,0.1,0.0,0.6773,0.6793,0.00488
40,1500,1.0,0.1,2.0,0.6774,0.6787,0.0044
60,1450,1.0,0.1,0.0,0.6774,0.6811,0.00659
40,1450,1.5,0.1,2.0,0.6775,0.6782,0.00342
60,1500,1.0,0.0,0.0,0.6777,0.684,0.00635
90,1450,1.5,0.1,2.0,0.6777,0.6779,0.00147
60,1450,1.0,0.0,0.0,0.6777,0.684,0.00635
40,1500,1.5,0.1,2.0,0.6778,0.6773,0.00342
40,1500,1.5,0.1,0.0,0.6779,0.6785,0.00732
90,1500,1.5,0.1,2.0,0.6779,0.6778,0.00147
40,1500,1.0,0.1,0.0,0.678,0.6797,0.00976
20,1500,1.0,0.1,2.0,0.6782,0.6797,0.00854
20,1450,1.0,0.0,2.0,0.6784,0.6852,0.00829
40,1450,1.5,0.1,0.0,0.6784,0.6812,0.00708
20,1450,1.0,0.1,2.0,0.6784,0.6832,0.00854
20,1500,1.0,0.0,2.0,0.6784,0.6852,0.00829
40,1450,1.5,0.0,0.0,0.6788,0.6842,0.00683
40,1500,1.5,0.0,0.0,0.6788,0.6842,0.00683
20,1450,1.5,0.1,2.0,0.6789,0.6807,0.00635
20,1450,1.5,0.0,2.0,0.6789,0.6835,0.00635
20,1500,1.5,0.0,2.0,0.6789,0.6835,0.00635
40,1450,1.0,0.1,0.0,0.6789,0.6833,0.00927
20,1500,1.5,0.1,2.0,0.679,0.6782,0.00635
40,1500,1.0,0.0,0.0,0.6795,0.6856,0.00927
40,1450,1.0,0.0,0.0,0.6795,0.6856,0.00927
20,1500,1.5,0.1,0.0,0.6807,0.6814,0.01
20,1500,1.5,0.0,0.0,0.6811,0.686,0.01
20,1450,1.5,0.0,0.0,0.6811,0.686,0.01
20,1450,1.5,0.1,0.0,0.6817,0.6854,0.01
20,1500,1.0,0.0,0.0,0.682,0.6863,0.01
20,1450,1.0,0.0,0.0,0.682,0.6863,0.01
20,1500,1.0,0.1,0.0,0.6824,0.6834,0.01
20,1450,1.0,0.1,0.0,0.6833,0.6875,0.01
