feature,context,disc_coef,disc_p,disc_n_ctx,rep_coef,rep_p,rep_n_ctx,disc_q,replicated
title_n,light(<=135),2.5683393251448665,2.1764673557134692e-08,282,0.18162612925798016,0.032777030303332726,810,2.4746433834462146e-05,True
five_n,light(<=135),1.5813534702713137,1.5302603221080918e-05,282,0.19659756596008054,0.040894681177115526,810,0.008699529931184502,True
title_rate,light(<=135),1.1126624094452708,4.6710236520869315e-05,163,0.17189138687829023,0.04929299984470974,627,0.01770317964140947,True
days_since_last,late_era(year>=2012),0.4573448710573908,6.917792511200559e-05,849,,,2207,0.01966382521308759,False
dec_loss_n,title,-0.9526150523217303,0.00010555443969664656,159,-0.605367265645175,0.014424436019678164,127,0.024003079587017428,True
reach,light(<=135),-0.46260880378082914,0.00028019364744161625,275,-0.1643291478470872,0.060311692352163104,806,0.05309669619018628,False
country_fights,late_era(year>=2012),-0.2818633872787659,0.0004718384760930097,1203,-0.0018979525493259721,1.0,2812,0.07664004961682172,False
five_rate,light(<=135),0.7632053806094813,0.0005512310121953065,163,0.13003178976940294,0.15428466443024297,627,0.07834370760825794,False
c_o_head_pm,title,-0.9236978588546868,0.0007356954485313823,159,-0.5503577552854343,0.012718362882211245,127,0.08635384390615083,True
c_sig_share,title,0.7811615225906936,0.0007594885128069554,159,0.6486257517392641,0.005506065711628336,127,0.08635384390615083,True
dec_loss_rate,title,-1.1063709661348236,0.0008454327886793789,114,-0.7735487569241504,0.01308485246618864,111,0.08738700733895034,True
c_body_pm,main_event,0.41497467823316675,0.000981903842104911,245,0.16031685685966207,0.17225590469398008,238,0.0893256438627354,False
d_adj_acc,main_event,0.4193202964007302,0.0010213134302687425,245,0.07440943912026227,0.5523879985099301,238,0.0893256438627354,False
d_adj_acc,title,0.5359379788053301,0.001181690980725033,159,0.39125808577011695,0.028831678145441762,127,0.092645674671404,True
c_sapm,title,-0.8639387790782384,0.0012304988337504853,159,-0.4058783566890159,0.05296297835424618,127,0.092645674671404,False
height,light(<=135),-0.42858751690769875,0.0013037210156046297,275,-0.007907532654253653,0.9274872784660625,806,0.092645674671404,False
d_o_head_pm,title,-0.8111015166469676,0.0014246364119461972,159,-0.588955683809704,0.005814430968214329,127,0.09528303531663684,True
reach,main_event,0.4278120774037373,0.0016340578362874587,244,0.10679794274239386,0.3862498676993673,237,0.10201945562831355,False
win_quality_now,five_rounds,0.4513476928244895,0.001834478186185606,171,0.15890188061485927,0.14263219562646448,262,0.10201945562831355,False
d_sig_acc,title,0.5114294058457971,0.0018631542923029014,159,0.5518415035033976,0.006401713531224395,127,0.10201945562831355,False
d_sig_share,title,0.6789555446944259,0.0020182552044474087,159,0.5968374212555622,0.007273037919242889,127,0.10201945562831355,False
sos_elo,five_rounds,0.43116086557881,0.002046991236754251,171,0.1611862723791866,0.17410656873765776,262,0.10201945562831355,False
d_sapm,title,-0.7767267980833931,0.0021018793325961885,159,-0.45195950414141817,0.027369496763934294,127,0.10201945562831355,False
c_adj_sapm,title,-0.7772583903453482,0.002153444973684719,159,-0.3400432192579982,0.07691476337915448,127,0.10201945562831355,False
c_adj_acc,title,0.48011655882760484,0.00229811142480725,159,0.42124606611142634,0.02411526200709596,127,0.10451810760023372,False
losses,title,-0.6208281460074399,0.0026335404476081413,159,-0.7607493622244704,0.003201792204496791,127,0.11516674957424833,False
c_body_pm,title,0.5311964802533902,0.0027527325857554467,159,0.06589591366477164,0.6465180489781197,127,0.11592062777792381,False
