lo,hi,disc_n,disc_low_winrate,rep_n,rep_low_winrate,disc_p,rep_p,family,disc_q,replicated
0-2 fights,3-5 fights,472,0.4152542372881356,506,0.5098814229249012,0.0002682282009815356,0.6891246480797087,ufc_fights_bucket,0.013679638250058315,False
"5'10""","6'1""",49,0.2653061224489796,42,0.40476190476190477,0.001402688503695515,0.27995623852893914,height_in,0.030823787045000765,False
72-73in,76-77in,109,0.3486238532110092,102,0.46078431372549017,0.002033169531309131,0.48843446453263306,reach_bucket(2in),0.030823787045000765,False
24-26,33-35,127,0.6377952755905512,137,0.5401459854014599,0.0024175519250980992,0.3929875546202092,age_bucket(3y),0.030823787045000765,False
70-71in,76-77in,77,0.33766233766233766,50,0.36,0.005870707889737201,0.06490864707227217,reach_bucket(2in),0.05988122047531945,False
27-29,33-35,176,0.6022727272727273,199,0.6231155778894473,0.00815044863940354,0.0006307710005619383,age_bucket(3y),0.06927881343493009,True
0-2 fights,6-8 fights,209,0.41148325358851673,213,0.45539906103286387,0.012581926444506038,0.21735610630420696,ufc_fights_bucket,0.08719543274292531,False
orthodox,southpaw,784,0.45535714285714285,826,0.4794188861985472,0.013677714940066716,0.2508638964609111,"stance(0=orth,1=south,2=switch)",0.08719543274292531,False
"6'2""","6'3""",46,0.6739130434782609,58,0.5517241379310345,0.02589608179323477,0.5118423084381691,height_in,0.1426948917384067,False
74-75in,76-77in,187,0.41711229946524064,169,0.4319526627218935,0.027979390536942487,0.09029051545852304,reach_bucket(2in),0.1426948917384067,False
74-75in,78-79in,66,0.36363636363636365,63,0.4444444444444444,0.03558272445223169,0.44996253629022254,reach_bucket(2in),0.1566221242220586,False
70-71in,74-75in,144,0.4097222222222222,122,0.47540983606557374,0.03685226452283732,0.6509598162160702,reach_bucket(2in),0.1566221242220586,False
72-73in,78-79in,46,0.34782608695652173,43,0.5116279069767442,0.054076031858869555,1.0,reach_bucket(2in),0.21214443267710364,False
0-2 fights,9-11 fights,91,0.3956043956043956,95,0.43157894736842106,0.058573528410188855,0.21805368187049967,ufc_fights_bucket,0.21337499635140225,False
27-29,30-32,376,0.5478723404255319,401,0.5536159600997507,0.07093518131689242,0.035828687597534305,age_bucket(3y),0.2300655852216907,False
"5'8""","5'9""",61,0.6229508196721312,59,0.559322033898305,0.07217743850092258,0.43499280512215344,height_in,0.2300655852216907,False
30-32,36-38,51,0.6274509803921569,115,0.6434782608695652,0.09191454981585423,0.002685701005962852,age_bucket(3y),0.2757436494475627,False
24-26,27-29,312,0.5448717948717948,252,0.5436507936507936,0.12623478614397118,0.18576805752238607,age_bucket(3y),0.35103720800353755,False
21-23,24-26,102,0.5784313725490197,46,0.5652173913043478,0.13709880575603403,0.4613911821367651,age_bucket(3y),0.35103720800353755,False
3-5 fights,6-8 fights,164,0.43902439024390244,186,0.43548387096774194,0.1376616501974657,0.09144224552258924,ufc_fights_bucket,0.35103720800353755,False
"6'0""","6'2""",82,0.4146341463414634,76,0.47368421052631576,0.15067520762630385,0.7310088822226056,height_in,0.36592550423530934,False
"5'7""","5'8""",44,0.6136363636363636,68,0.3235294117647059,0.17417114727072658,0.004903382516355935,height_in,0.38867719637368703,False
"6'1""","6'3""",66,0.5909090909090909,51,0.45098039215686275,0.17528579444303533,0.5758493477318467,height_in,0.38867719637368703,False
68-69in,72-73in,72,0.4166666666666667,76,0.4605263157894737,0.1945051658673991,0.566573442398685,reach_bucket(2in),0.41332347746822307,False
68-69in,70-71in,144,0.4444444444444444,135,0.4666666666666667,0.21115264054329358,0.4912624577829232,reach_bucket(2in),0.42281329206044094,False
30-32,33-35,167,0.5508982035928144,250,0.552,0.2155518743837542,0.11366557945973885,age_bucket(3y),0.42281329206044094,False
6-8 fights,9-11 fights,61,0.4262295081967213,89,0.47191011235955055,0.30567741986311836,0.6718086491746109,ufc_fights_bucket,0.577390681963668,False
"5'11""","6'0""",96,0.5520833333333334,91,0.4945054945054945,0.3583976321916263,1.0,height_in,0.6527956872061765,False
0-2 fights,12-14 fights,81,0.4444444444444444,110,0.509090909090909,0.37417441760470777,0.9240973917982831,ufc_fights_bucket,0.6580308723393137,False
72-73in,74-75in,248,0.4717741935483871,205,0.4682926829268293,0.409138361609985,0.40202361223750865,reach_bucket(2in),0.6889181807006383,False
27-29,36-38,55,0.5636363636363636,100,0.69,0.4187541882690154,0.00018314322488235366,age_bucket(3y),0.6889181807006383,False
"5'10""","5'11""",59,0.559322033898305,95,0.47368421052631576,0.43499280512215344,0.6817425059181855,height_in,0.693269783163432,False
21-23,27-29,106,0.5377358490566038,66,0.5757575757575758,0.4967543930289459,0.2678116648465871,age_bucket(3y),0.7451315895434188,False
3-5 fights,12-14 fights,106,0.46226415094339623,192,0.5364583333333334,0.4967543930289459,0.34817116713181906,ufc_fights_bucket,0.7451315895434188,False
70-71in,72-73in,265,0.5207547169811321,256,0.5,0.5391005025781399,1.0,reach_bucket(2in),0.768697723898323,False
3-5 fights,9-11 fights,97,0.4639175257731959,103,0.4368932038834951,0.5426101580458751,0.2369018777802925,ufc_fights_bucket,0.768697723898323,False
76-77in,78-79in,67,0.4626865671641791,83,0.5542168674698795,0.6254068289416483,0.37999939641191804,reach_bucket(2in),0.8620472507033531,False
"6'0""","6'1""",117,0.47863247863247865,76,0.3815789473684211,0.7117032769279406,0.050452410247217666,height_in,0.918258534749898,False
orthodox,switch,70,0.5285714285714286,206,0.46116504854368934,0.7202027723528612,0.29596014754464123,"stance(0=orth,1=south,2=switch)",0.918258534749898,False
"5'11""","6'1""",70,0.4714285714285714,48,0.625,0.7202027723528612,0.11140289106101878,height_in,0.918258534749898,False
