hypothesis,bets,roi,win_rate,implied,t_pvalue,years_positive,roi_2008_15,roi_2016_20
younger by 5+ years,1640,0.0272,0.6,0.565,0.2529,9/14,0.0352,0.019
women's bouts: favourite,422,-0.0532,0.654,0.661,0.1254,3/8,-0.1031,-0.0404
main card slight underdog (37.5-45%),582,0.1297,0.478,0.41,0.0085,11/14,0.1319,0.1274
any slight underdog (35-45%),1814,0.0197,0.421,0.4,0.4848,7/14,0.0188,0.0207
big favourite (>=80%),422,-0.0007,0.863,0.835,0.9734,6/14,-0.0024,0.002
big underdog (<=20%),422,-0.2106,0.135,0.165,0.0345,3/14,-0.1829,-0.2528
UFC debutant vs veteran (bet debutant),531,-0.1272,0.397,0.415,0.0171,4/14,-0.1697,-0.0884
fighter who missed weight,98,-0.3247,0.347,0.47,0.0018,2/10,-0.5198,-0.2649
short-notice replacement,522,-0.1346,0.4,0.412,0.0133,4/14,-0.1613,-0.1075
coming off KO loss (bet them),1164,-0.065,0.464,0.484,0.0586,4/14,-0.095,-0.0321
layoff 2y+ (bet them),148,0.126,0.507,0.438,0.246,8/14,0.149,0.1003
southpaw vs orthodox (bet southpaw),1506,-0.0101,0.531,0.51,0.7163,7/14,0.0529,-0.0855
4+ inch reach advantage,1324,-0.0075,0.556,0.536,0.7901,7/14,-0.0038,-0.0119
