p0_mult,q_mult,phi,ll_str,ll_td,ll_kd,ll_sub,ll_ctl,ll_kof,ll_sbf
0.06,0.01,1.0,-7.33462,-1.48545,-0.7115,-1.06202,-7.36832,-0.61141,-0.42845
0.06,0.01,3.0,-7.48094,-1.51531,-0.71371,-1.07309,-7.64382,-0.61313,-0.43015
0.06,0.03,1.0,-7.33117,-1.48311,-0.71129,-1.06109,-7.36014,-0.61131,-0.42837
0.06,0.03,3.0,-7.46008,-1.51393,-0.71363,-1.07288,-7.61441,-0.61312,-0.4302
0.06,0.1,1.0,-7.35256,-1.47849,-0.71089,-1.05915,-7.39298,-0.61112,-0.42811
0.06,0.1,3.0,-7.43027,-1.51114,-0.71346,-1.07228,-7.57469,-0.61311,-0.43019
0.12,0.01,1.0,-7.35796,-1.46515,-0.70951,-1.05436,-7.34161,-0.6101,-0.42699
0.12,0.01,3.0,-7.37568,-1.50097,-0.71303,-1.06956,-7.46586,-0.61295,-0.42998
0.12,0.03,1.0,-7.35612,-1.46399,-0.70939,-1.05385,-7.33965,-0.61004,-0.42696
0.12,0.03,3.0,-7.3667,-1.50018,-0.71296,-1.06952,-7.45282,-0.61296,-0.43007
0.12,0.1,1.0,-7.38465,-1.46142,-0.70917,-1.05262,-7.37529,-0.60999,-0.42682
0.12,0.1,3.0,-7.35771,-1.49816,-0.71283,-1.06936,-7.43935,-0.61306,-0.43022
0.25,0.01,1.0,-7.51995,-1.4495,-0.70803,-1.04914,-7.47253,-0.60927,-0.4252
0.25,0.01,3.0,-7.3452,-1.4854,-0.71259,-1.0663,-7.37985,-0.61348,-0.43019
0.25,0.03,1.0,-7.5135,-1.44915,-0.70808,-1.04902,-7.4697,-0.60933,-0.42525
0.25,0.03,3.0,-7.34099,-1.48528,-0.7126,-1.06647,-7.37502,-0.61356,-0.43032
0.25,0.1,1.0,-7.52772,-1.44869,-0.70836,-1.04887,-7.49464,-0.60962,-0.42545
0.25,0.1,3.0,-7.34114,-1.48522,-0.71272,-1.06721,-7.37596,-0.61391,-0.43079
