p0_mult,q_mult,phi,ll_str,ll_td,ll_kd,ll_sub,ll_ctl,ll_kof,ll_sbf
0.25,0.1,1.0,-7.52772,-1.44869,-0.70836,-1.04887,-7.49464,-0.60962,-0.42545
0.25,0.1,3.0,-7.34114,-1.48522,-0.71272,-1.06721,-7.37596,-0.61391,-0.43079
0.25,0.1,8.0,-7.39994,-1.51774,-0.71552,-1.08126,-7.56626,-0.6163,-0.43325
0.25,0.3,1.0,-7.61501,-1.45012,-0.70947,-1.04979,-7.61058,-0.61077,-0.42584
0.25,0.3,3.0,-7.37165,-1.48645,-0.71299,-1.06895,-7.4229,-0.61468,-0.43137
0.25,0.3,8.0,-7.3912,-1.52007,-0.71583,-1.0838,-7.57181,-0.61711,-0.43402
0.25,1.0,1.0,-7.85359,-1.45901,-0.71024,-1.05342,-7.93683,-0.61178,-0.42587
0.25,1.0,3.0,-7.45925,-1.48844,-0.71318,-1.07011,-7.60051,-0.61529,-0.43159
0.25,1.0,8.0,-7.386,-1.52058,-0.71624,-1.08488,-7.63779,-0.61785,-0.4344
0.5,0.1,1.0,-7.81891,-1.45224,-0.71337,-1.05624,-7.80144,-0.61434,-0.4267
0.5,0.1,3.0,-7.43579,-1.48594,-0.71622,-1.0733,-7.46807,-0.61894,-0.43392
0.5,0.1,8.0,-7.3673,-1.52673,-0.72045,-1.09292,-7.53543,-0.62312,-0.43839
0.5,0.3,1.0,-7.87481,-1.45636,-0.71626,-1.0591,-7.88476,-0.61701,-0.42851
0.5,0.3,3.0,-7.46412,-1.49165,-0.71817,-1.07816,-7.51627,-0.62147,-0.4361
0.5,0.3,8.0,-7.37475,-1.53579,-0.72242,-1.10004,-7.56604,-0.62593,-0.44096
0.5,1.0,1.0,-8.09733,-1.47593,-0.72556,-1.07181,-8.17425,-0.62623,-0.43306
0.5,1.0,3.0,-7.59654,-1.51348,-0.72194,-1.09186,-7.72363,-0.62631,-0.43903
0.5,1.0,8.0,-7.43755,-1.5589,-0.72506,-1.11199,-7.73071,-0.62978,-0.44375
1.0,0.1,1.0,-8.31604,-1.49615,-0.73823,-1.0916,-8.44415,-0.63829,-0.44113
1.0,0.1,3.0,-7.70365,-1.53445,-0.73651,-1.11162,-7.86952,-0.64244,-0.44985
1.0,0.1,8.0,-7.47257,-1.59784,-0.74311,-1.14319,-7.80879,-0.65089,-0.45855
1.0,0.3,1.0,-8.32937,-1.50227,-0.74284,-1.09595,-8.49511,-0.64287,-0.44441
1.0,0.3,3.0,-7.71799,-1.54434,-0.7408,-1.11936,-7.91448,-0.64748,-0.45395
1.0,0.3,8.0,-7.48509,-1.61381,-0.7479,-1.1548,-7.85852,-0.65704,-0.46367
1.0,1.0,1.0,-8.49829,-1.5303,-0.76035,-1.11553,-8.75436,-0.66161,-0.45677
1.0,1.0,3.0,-7.84343,-1.58401,-0.75715,-1.1484,-8.13849,-0.66707,-0.46799
1.0,1.0,8.0,-7.57598,-1.67368,-0.76359,-1.195,-8.09171,-0.67685,-0.47787
