bets,staked,profit,roi,hit,max_dd,avg_price,avg_units,scenario,period,roi_ci90,mean_clv
1519,3582.18,370.46,0.1034,0.551,55.36,2.274,2.36,ens3 @ 5% margin book (O3),DEV 2011-2020 (selection-biased),"[0.055, 0.151]",
470,990.91,25.59,0.0258,0.543,36.75,2.026,2.11,ens3 @ 5% margin book (O3),VALIDATION 2021-2024,"[-0.052, 0.103]",
188,418.54,55.57,0.1328,0.58,17.64,2.015,2.23,ens3 @ 5% margin book (O3),LOCKED HOLDOUT 2025-01-01..,"[0.016, 0.252]",
1910,4932.81,516.37,0.1047,0.563,47.75,2.216,2.58,ens3 @ avg closing price,DEV 2011-2020 (selection-biased),"[0.063, 0.147]",
647,1292.72,23.6,0.0183,0.552,38.11,1.979,2.0,ens3 @ avg closing price,VALIDATION 2021-2024,"[-0.046, 0.084]",
278,570.4,65.45,0.1147,0.612,17.7,1.888,2.05,ens3 @ avg closing price,LOCKED HOLDOUT 2025-01-01..,"[0.022, 0.206]",
2498,6754.6,715.16,0.1059,0.562,80.62,2.264,2.7,ens3 @ best closing price,DEV 2011-2020 (selection-biased),"[0.070, 0.144]",
1476,3766.39,264.97,0.0704,0.545,64.99,2.256,2.55,ens3 @ best closing price,VALIDATION 2021-2024,"[0.023, 0.119]",
626,1531.53,155.34,0.1014,0.601,53.8,2.135,2.45,ens3 @ best closing price,LOCKED HOLDOUT 2025-01-01..,"[0.032, 0.169]",
1947,6606.21,785.22,0.1189,0.621,82.8,1.892,3.39,stack_open @ opening price (O4),DEV 2011-2020 (selection-biased),"[0.084, 0.154]",0.0452
1374,4824.93,461.33,0.0956,0.606,53.38,1.936,3.51,stack_open @ opening price (O4),VALIDATION 2021-2024,"[0.053, 0.136]",0.0912
581,2000.9,293.16,0.1465,0.633,59.4,1.957,3.44,stack_open @ opening price (O4),LOCKED HOLDOUT 2025-01-01..,"[0.082, 0.212]",0.0942
