year,min_edge,frac,max_units,hist_value,bets,staked,profit,roi,hit,max_dd,avg_price,avg_units
2013,0.0,0.5,5.0,1.05,292,808.55,205.71,0.2544,0.599,27.73,2.488,2.77
2014,0.0,0.5,5.0,2.95,392,1184.7,79.73,0.0673,0.52,53.7,2.537,3.02
2015,0.0,0.5,5.0,3.505,288,784.12,64.89,0.0828,0.552,35.94,2.313,2.72
2016,0.0,0.5,5.0,4.016,313,762.75,62.91,0.0825,0.546,23.84,2.115,2.44
2017,0.0,0.5,5.0,4.534,242,510.2,87.66,0.1718,0.57,19.44,2.31,2.11
2018,0.0,0.5,5.0,5.336,277,698.46,112.29,0.1608,0.621,27.53,2.161,2.52
2019,0.0,0.5,5.0,6.37,373,1009.0,13.54,0.0134,0.539,80.45,2.145,2.71
2020,0.0,0.5,5.0,6.361,321,996.8,88.44,0.0887,0.57,46.08,2.023,3.11
2021,0.0,0.5,5.0,7.083,418,1180.22,101.32,0.0858,0.574,53.58,2.16,2.82
2022,0.0,0.5,5.0,7.916,373,975.14,41.54,0.0426,0.509,45.27,2.379,2.61
2023,0.0,0.5,5.0,8.152,352,835.81,46.35,0.0555,0.528,60.86,2.273,2.37
2024,0.0,0.5,5.0,8.473,333,775.22,75.76,0.0977,0.568,26.78,2.22,2.33
2025,0.0,0.5,5.0,9.125,338,732.4,144.7,0.1976,0.63,17.84,2.118,2.17
2026,0.0,0.5,5.0,10.462,288,799.12,10.64,0.0133,0.566,48.78,2.155,2.77
