year,min_edge,frac,max_units,hist_value,bets,staked,profit,roi,hit,max_dd,avg_price,avg_units
2013,0.04,0.5,5.0,1.157,134,461.1,124.18,0.2693,0.545,28.1,2.789,3.44
2014,0.0,0.5,5.0,2.483,337,1000.13,72.41,0.0724,0.534,50.74,2.406,2.97
2015,0.0,0.5,5.0,3.01,247,651.56,54.01,0.0829,0.543,32.19,2.3,2.64
2016,0.0,0.5,5.0,3.444,256,604.39,54.58,0.0903,0.555,19.94,2.062,2.36
2017,0.0,0.5,5.0,3.906,196,369.96,61.08,0.1651,0.587,14.16,2.288,1.89
2018,0.0,0.5,5.0,4.465,234,512.4,79.94,0.156,0.632,18.83,2.122,2.19
2019,0.0,0.5,5.0,5.203,260,635.91,7.58,0.0119,0.546,54.3,1.973,2.45
2020,0.0,0.5,5.0,5.202,246,697.36,62.57,0.0897,0.573,37.51,2.005,2.83
2021,0.0,0.5,5.0,5.727,225,533.8,16.19,0.0303,0.591,39.21,1.922,2.37
2022,0.0,0.5,5.0,5.824,159,308.62,-14.06,-0.0456,0.503,30.43,2.015,1.94
2023,0.0,0.5,5.0,5.653,138,235.36,-2.93,-0.0124,0.514,28.75,1.977,1.71
2024,0.0,0.5,5.0,5.602,125,214.94,24.4,0.1135,0.584,9.43,2.038,1.72
2025,0.0,0.5,5.0,5.83,136,245.41,41.07,0.1673,0.618,17.7,2.003,1.8
2026,0.0,0.5,5.0,6.215,142,324.99,24.38,0.075,0.606,14.83,1.777,2.29
