,,date,stake,price,profit,p_bet,bet_side
"near close, 5% margin|None",2159,2013-01-19,1.0289873457275267,4.727577715052429,-1.0289873457275267,0.22775143442949342,b
"near close, 5% margin|None",2160,2013-01-19,1.940388674037713,2.883617159590159,3.6549494026918317,0.37213642750217,b
"near close, 5% margin|None",2161,2013-01-19,2.17659715456927,5.547342231699497,0.0,0.2159510975187099,b
"near close, 5% margin|None",2162,2013-01-19,1.0429328945333043,3.616051349805976,-1.0429328945333043,0.2916350510859317,b
"near close, 5% margin|None",2164,2013-01-19,4.691353239454841,1.2807631578947367,1.317159150309044,0.8013528314581125,a
"near close, 5% margin|None",2165,2013-01-19,3.324457605095852,2.577468377485119,5.244226744328618,0.42867045219178507,a
"near close, 5% margin|None",2167,2013-01-19,2.2744848121170715,1.8231393298059966,1.8722179038999642,0.5690428269069241,a
"near close, 5% margin|None",2168,2013-01-19,2.188525013565807,2.248152680219312,2.731613361409168,0.46911060645814395,b
"near close, 5% margin|None",2176,2013-01-26,2.0464641505043732,2.6137668960621427,-2.0464641505043732,0.40785975352558457,b
"near close, 5% margin|None",2178,2013-01-26,5.0,1.6164070175438596,3.082035087719298,0.6714461678412625,a
"near close, 5% margin|None",2179,2013-01-26,3.2886005614235283,1.392520325203252,1.2908425618335606,0.7366620311893424,b
"near close, 5% margin|None",2185,2013-02-02,0.952588712122562,2.43434456602474,-0.952588712122562,0.42201372114523805,b
"near close, 5% margin|None",2186,2013-02-02,4.260924812954932,2.1089860957233317,-4.260924812954932,0.5189726616354964,a
"near close, 5% margin|None",2192,2013-02-16,2.6838147400227514,2.7374178803323996,4.662907716815179,0.39937568983934274,a
"near close, 5% margin|None",2195,2013-02-16,2.2459666587751057,2.3183355828449326,2.9609377641465646,0.4568875891483824,a
"near close, 5% margin|None",2197,2013-02-16,0.7099041321409938,4.003607889803079,2.1322736523024965,0.26042647075943626,b
"near close, 5% margin|None",2198,2013-02-16,2.7347509944931625,1.9253970953496062,0.0,0.5456612638887366,b
"near close, 5% margin|None",2201,2013-02-16,1.1046120430934738,2.7374178803324,-1.1046120430934738,0.3793295359654526,b
"near close, 5% margin|None",2207,2013-02-23,3.9463958009892117,1.5840621963070942,-3.9463958009892117,0.6603899862134297,b
"near close, 5% margin|None",2210,2013-02-23,3.242935473567158,1.8452734908443762,2.741167388325172,0.5716352361859532,a
"near close, 5% margin|None",2214,2013-02-23,2.8620557514485827,1.4583884087442804,1.3119331816439317,0.7036799370316604,a
"near close, 5% margin|None",2215,2013-02-23,0.7075808192106025,8.059347912091555,-0.7075808192106025,0.13647520811508962,b
"near close, 5% margin|None",2218,2013-03-02,5.0,1.8231393298059966,4.115696649029983,0.6142985150735147,b
"near close, 5% margin|None",2221,2013-03-02,3.545152927695571,1.49996261682243,1.7724439347663767,0.690316456612003,a
"near close, 5% margin|None",2223,2013-03-02,2.226257924367051,2.737417880332399,3.8679403240270083,0.39356753465412403,a
"near close, 5% margin|None",2224,2013-03-02,2.7174654380047465,1.4211731528482798,1.1445234862806908,0.7197507690569318,b
"near close, 5% margin|None",2231,2013-03-16,5.0,1.3151918367346938,1.5759591836734688,0.8009298365809954,b
"near close, 5% margin|None",2233,2013-03-16,2.262089217561389,2.6832274055304,-2.262089217561389,0.40106634610135006,b
"near close, 5% margin|None",2235,2013-03-16,3.366282924841804,2.2718493683506065,4.28140481164948,0.47786094947886903,b
"near close, 5% margin|None",2240,2013-04-06,5.0,1.6918202247191014,3.459101123595507,0.6349303635908234,b
"near close, 5% margin|None",2242,2013-04-06,4.449814792351159,1.6054900793650795,2.6943187117806078,0.656426587607686,b
"near close, 5% margin|None",2246,2013-04-06,1.084175235856938,4.998297343518728,4.334854965435586,0.21741345594771935,a
"near close, 5% margin|None",2248,2013-04-06,3.0284234612510077,2.317169354150522,-3.0284234612510077,0.46599051103317146,b
"near close, 5% margin|None",2252,2013-04-13,2.613887341955464,1.9485466377221656,-2.613887341955464,0.5386516599976724,a
"near close, 5% margin|None",2253,2013-04-13,3.316988686320557,1.467287859287859,1.549988542512781,0.70265678566348,b
"near close, 5% margin|None",2264,2013-04-20,3.2402939839344542,2.504682903142236,-3.2402939839344542,0.43818413013429297,a
"near close, 5% margin|None",2276,2013-04-27,3.7649022525199896,1.9940355628599975,-3.7649022525199896,0.5390319784729924,b
"near close, 5% margin|None",2277,2013-04-27,5.0,2.800430631052524,9.00215315526262,0.4277891511041192,b
"near close, 5% margin|None",2278,2013-04-27,1.24761876110673,1.8245949441504996,-1.24761876110673,0.5593436536282199,b
"near close, 5% margin|None",2279,2013-04-27,2.598688985077666,5.431836769440788,-2.598688985077666,0.22650520627754867,b
"near close, 5% margin|None",2283,2013-04-27,5.0,1.3199959183673466,1.5999795918367332,0.7892354199037307,a
"near close, 5% margin|None",2284,2013-04-27,4.221796540096777,3.013158820631904,-4.221796540096777,0.38829116170743994,b
"near close, 5% margin|None",2286,2013-04-27,0.2834865853224606,7.3853723999105325,-0.2834865853224606,0.14030482042663295,b
"near close, 5% margin|None",2291,2013-05-18,1.130166501644307,5.16769941969116,-1.130166501644307,0.21173907315347318,b
"near close, 5% margin|None",2296,2013-05-18,3.930389036400294,1.2928996138996138,1.1512094312369212,0.7912634342422894,a
