bets,staked,profit,roi,hit,max_dd,avg_price,avg_units,setting,dd_cap,period
1083,3093.36,369.73,0.1195,0.519,53.71,2.5,2.86,"near close, 5% margin",none,2013-2020
345,863.32,33.97,0.0394,0.525,30.39,2.147,2.5,"near close, 5% margin",none,2021-2024
137,350.72,58.0,0.1654,0.54,17.64,2.172,2.56,"near close, 5% margin",none,2025-2026
482,1214.04,91.97,0.0758,0.529,34.55,2.154,2.52,"near close, 5% margin",none,2021-2026 (untouched)
989,2715.92,334.76,0.1233,0.514,54.95,2.539,2.75,"near close, 5% margin",25.0,2013-2020
345,863.32,33.97,0.0394,0.525,30.39,2.147,2.5,"near close, 5% margin",25.0,2021-2024
137,350.72,58.0,0.1654,0.54,17.64,2.172,2.56,"near close, 5% margin",25.0,2025-2026
482,1214.04,91.97,0.0758,0.529,34.55,2.154,2.52,"near close, 5% margin",25.0,2021-2026 (untouched)
1025,1731.54,193.05,0.1115,0.527,36.34,2.432,1.69,"near close, 5% margin",15.0,2013-2020
345,736.56,28.87,0.0392,0.525,27.34,2.147,2.13,"near close, 5% margin",15.0,2021-2024
137,292.83,43.32,0.1479,0.54,14.88,2.172,2.14,"near close, 5% margin",15.0,2025-2026
482,1029.4,72.19,0.0701,0.529,27.6,2.154,2.14,"near close, 5% margin",15.0,2021-2026 (untouched)
1599,6181.97,761.05,0.1231,0.612,76.44,1.953,3.87,at opening price,none,2013-2020
1173,4589.82,462.57,0.1008,0.605,56.31,1.973,3.91,at opening price,none,2021-2024
481,1868.52,288.82,0.1546,0.624,58.55,2.033,3.88,at opening price,none,2025-2026
1654,6458.34,751.39,0.1163,0.611,56.02,1.991,3.9,at opening price,none,2021-2026 (untouched)
1599,5666.74,680.07,0.12,0.612,76.44,1.953,3.54,at opening price,25.0,2013-2020
920,3441.77,333.77,0.097,0.587,59.52,2.031,3.74,at opening price,25.0,2021-2024
410,1660.95,277.61,0.1671,0.62,55.96,2.074,4.05,at opening price,25.0,2025-2026
1330,5102.72,611.38,0.1198,0.597,61.23,2.044,3.84,at opening price,25.0,2021-2026 (untouched)
1506,3602.23,429.91,0.1193,0.61,56.4,1.962,2.39,at opening price,15.0,2013-2020
853,2059.3,229.34,0.1114,0.583,31.93,2.046,2.41,at opening price,15.0,2021-2024
360,1124.64,205.45,0.1827,0.628,39.13,2.113,3.12,at opening price,15.0,2025-2026
1213,3183.94,434.79,0.1366,0.596,39.13,2.066,2.62,at opening price,15.0,2021-2026 (untouched)
