bets,staked,profit,roi,hit,max_dd,avg_price,avg_units,setting,policy,period,years_profitable
718,1055.43,121.57,0.1152,0.489,22.93,2.631,1.47,"near close, 5% margin","steady: 1/4 Kelly, edge>4%, max 2u",2013-2020,8/8
175,241.52,6.5,0.0269,0.486,15.28,2.298,1.38,"near close, 5% margin","steady: 1/4 Kelly, edge>4%, max 2u",2021-2024,3/4
67,94.04,28.73,0.3055,0.597,7.72,2.299,1.4,"near close, 5% margin","steady: 1/4 Kelly, edge>4%, max 2u",2025-2026,2/2
242,335.56,35.23,0.105,0.517,14.33,2.298,1.39,"near close, 5% margin","steady: 1/4 Kelly, edge>4%, max 2u",2021-2026,5/6
727,727.0,60.35,0.083,0.484,20.25,2.687,1.0,"near close, 5% margin","flat 1u, edge>4%",2013-2020,7/8
175,175.0,-1.73,-0.0099,0.486,14.29,2.298,1.0,"near close, 5% margin","flat 1u, edge>4%",2021-2024,2/4
67,67.0,19.68,0.2938,0.597,5.0,2.299,1.0,"near close, 5% margin","flat 1u, edge>4%",2025-2026,2/2
242,242.0,17.95,0.0742,0.517,13.93,2.298,1.0,"near close, 5% margin","flat 1u, edge>4%",2021-2026,4/6
804,693.82,86.82,0.1251,0.522,18.12,2.379,0.86,"near close, 5% margin","1/8 Kelly, edge>3%, max 1.5u",2013-2020,8/8
239,178.5,7.06,0.0396,0.527,7.11,2.145,0.75,"near close, 5% margin","1/8 Kelly, edge>3%, max 1.5u",2021-2024,3/4
85,67.18,16.61,0.2472,0.624,4.31,2.087,0.79,"near close, 5% margin","1/8 Kelly, edge>3%, max 1.5u",2025-2026,2/2
324,245.68,23.67,0.0963,0.552,7.9,2.13,0.76,"near close, 5% margin","1/8 Kelly, edge>3%, max 1.5u",2021-2026,5/6
957,1457.82,206.31,0.1415,0.518,22.93,2.571,1.52,"near close, avg price","steady: 1/4 Kelly, edge>4%, max 2u",2013-2020,8/8
209,294.9,4.99,0.0169,0.488,17.29,2.263,1.41,"near close, avg price","steady: 1/4 Kelly, edge>4%, max 2u",2021-2024,2/4
73,107.21,31.14,0.2905,0.603,7.96,2.278,1.47,"near close, avg price","steady: 1/4 Kelly, edge>4%, max 2u",2025-2026,2/2
282,402.11,36.13,0.0899,0.518,16.07,2.267,1.43,"near close, avg price","steady: 1/4 Kelly, edge>4%, max 2u",2021-2026,4/6
966,966.0,111.06,0.115,0.513,15.37,2.614,1.0,"near close, avg price","flat 1u, edge>4%",2013-2020,7/8
209,209.0,-2.61,-0.0125,0.488,14.19,2.263,1.0,"near close, avg price","flat 1u, edge>4%",2021-2024,2/4
73,73.0,21.3,0.2917,0.603,5.45,2.278,1.0,"near close, avg price","flat 1u, edge>4%",2025-2026,2/2
282,282.0,18.68,0.0663,0.518,14.09,2.267,1.0,"near close, avg price","flat 1u, edge>4%",2021-2026,4/6
1101,1018.45,136.6,0.1341,0.551,13.47,2.289,0.93,"near close, avg price","1/8 Kelly, edge>3%, max 1.5u",2013-2020,8/8
284,218.34,10.67,0.0489,0.539,7.72,2.118,0.77,"near close, avg price","1/8 Kelly, edge>3%, max 1.5u",2021-2024,3/4
97,79.92,13.88,0.1736,0.588,4.53,2.059,0.82,"near close, avg price","1/8 Kelly, edge>3%, max 1.5u",2025-2026,2/2
381,298.25,24.55,0.0823,0.551,7.27,2.103,0.78,"near close, avg price","1/8 Kelly, edge>3%, max 1.5u",2021-2026,5/6
1206,2163.08,318.98,0.1475,0.609,32.43,2.015,1.79,at opening price,"steady: 1/4 Kelly, edge>4%, max 2u",2013-2020,8/8
907,1636.14,160.69,0.0982,0.584,27.19,2.033,1.8,at opening price,"steady: 1/4 Kelly, edge>4%, max 2u",2021-2024,3/4
360,633.19,118.8,0.1876,0.628,22.58,2.113,1.76,at opening price,"steady: 1/4 Kelly, edge>4%, max 2u",2025-2026,2/2
1267,2269.33,279.49,0.1232,0.597,26.08,2.055,1.79,at opening price,"steady: 1/4 Kelly, edge>4%, max 2u",2021-2026,5/6
1206,1206.0,180.34,0.1495,0.609,16.73,2.015,1.0,at opening price,"flat 1u, edge>4%",2013-2020,8/8
907,907.0,88.31,0.0974,0.584,18.39,2.033,1.0,at opening price,"flat 1u, edge>4%",2021-2024,3/4
361,361.0,57.33,0.1588,0.626,13.65,2.122,1.0,at opening price,"flat 1u, edge>4%",2025-2026,2/2
1268,1268.0,145.64,0.1149,0.596,18.33,2.058,1.0,at opening price,"flat 1u, edge>4%",2021-2026,5/6
1369,1588.36,208.9,0.1315,0.613,23.82,1.948,1.16,at opening price,"1/8 Kelly, edge>3%, max 1.5u",2013-2020,8/8
1012,1193.8,117.32,0.0983,0.597,16.58,1.972,1.18,at opening price,"1/8 Kelly, edge>3%, max 1.5u",2021-2024,4/4
406,478.88,85.28,0.1781,0.645,13.68,1.997,1.18,at opening price,"1/8 Kelly, edge>3%, max 1.5u",2025-2026,2/2
1418,1672.68,202.6,0.1211,0.611,17.66,1.979,1.18,at opening price,"1/8 Kelly, edge>3%, max 1.5u",2021-2026,6/6
