prob,family,bets,bets_per_event,staked,profit,roi,roi_90ci,yes_share,roi_by_year
layer,all,3162,15.89,2611.6,214.9,0.0823,"[+0.024, +0.140]",0.5,"{2022: -0.014, 2023: 0.136, 2024: 0.221, 2025: 0.087, 2026: 0.001}"
layer,dec,767,3.85,414.8,10.0,0.024,"[-0.080, +0.129]",1.0,"{2022: -0.008, 2023: 0.037, 2024: 0.218, 2025: 0.053, 2026: -0.056}"
layer,fdec,736,3.7,642.4,124.0,0.1931,"[+0.082, +0.304]",0.73,"{2022: 0.238, 2023: 0.156, 2024: 0.294, 2025: 0.224, 2026: 0.08}"
layer,itd,950,4.77,1087.9,84.1,0.0773,"[+0.034, +0.121]",0.12,"{2022: -0.013, 2023: 0.11, 2024: 0.129, 2025: 0.122, 2026: 0.027}"
layer,ko,6,0.03,2.7,8.7,3.2646,"[-1.000, +7.854]",1.0,"{2022: -1.0, 2024: 6.251, 2025: -1.0, 2026: -1.0}"
layer,sub,157,0.79,111.5,15.1,0.1355,"[-0.067, +0.344]",1.0,"{2022: -1.0, 2023: 0.484, 2024: 0.238, 2025: 0.044, 2026: -0.095}"
layer,under,546,2.74,352.4,-27.1,-0.0769,"[-0.174, +0.015]",0.0,"{2022: -0.082, 2023: 0.18, 2024: 0.019, 2025: -0.079, 2026: -0.223}"
model,all,8768,44.06,9893.1,574.1,0.058,"[+0.015, +0.102]",0.54,"{2022: 0.051, 2023: 0.065, 2024: 0.138, 2025: 0.021, 2026: 0.001}"
model,dec,1383,6.95,1652.9,83.9,0.0507,"[-0.012, +0.116]",0.78,"{2022: 0.063, 2023: -0.046, 2024: 0.197, 2025: 0.038, 2026: -0.022}"
model,fdec,2023,10.17,2094.6,348.8,0.1665,"[+0.097, +0.237]",0.74,"{2022: 0.092, 2023: 0.264, 2024: 0.216, 2025: 0.157, 2026: 0.094}"
model,itd,1921,9.65,2414.2,159.9,0.0662,"[+0.032, +0.100]",0.27,"{2022: 0.076, 2023: 0.061, 2024: 0.082, 2025: 0.08, 2026: 0.026}"
model,ko,521,2.62,379.4,11.1,0.0293,"[-0.197, +0.265]",1.0,"{2022: 0.098, 2023: 0.123, 2024: 0.062, 2025: -0.154, 2026: 0.021}"
model,sub,362,1.82,266.6,33.5,0.1256,"[-0.139, +0.435]",1.0,"{2022: 0.308, 2023: 0.836, 2024: 0.198, 2025: -0.303, 2026: 0.066}"
model,under,2558,12.85,3085.4,-63.0,-0.0204,"[-0.071, +0.028]",0.28,"{2022: -0.021, 2023: -0.039, 2024: 0.103, 2025: -0.084, 2026: -0.094}"
