check,bets,per_event,roi,ci90,years_up,by_year
fdec+itd: as run (mean price),1686,8.47,0.1203,"[+0.063, +0.180]",5/5,"{2022: 0.022, 2023: 0.122, 2024: 0.2, 2025: 0.166, 2026: 0.051}"
fdec+itd: R1 price -2%,1202,6.04,0.1042,"[+0.028, +0.180]",3/5,"{2022: -0.071, 2023: 0.116, 2024: 0.213, 2025: 0.193, 2026: -0.003}"
fdec+itd: R1 price -4%,868,4.36,0.1047,"[+0.002, +0.210]",3/5,"{2022: -0.094, 2023: 0.114, 2024: 0.346, 2025: 0.178, 2026: -0.061}"
fdec+itd: R2 3+ books,803,4.04,0.1601,"[+0.072, +0.259]",5/5,"{2022: 0.117, 2023: 0.125, 2024: 0.293, 2025: 0.154, 2026: 0.094}"
fdec+itd: R3 edge > 6%,1130,5.68,0.1333,"[+0.052, +0.218]",4/5,"{2022: -0.054, 2023: 0.127, 2024: 0.273, 2025: 0.197, 2026: 0.036}"
fdec+itd: R4 one bet per bout,1135,5.7,0.123,"[+0.062, +0.188]",5/5,"{2022: 0.006, 2023: 0.129, 2024: 0.235, 2025: 0.178, 2026: 0.055}"
fdec+itd: R5 flat 1u,1953,9.81,0.1319,"[+0.063, +0.202]",5/5,"{2022: 0.04, 2023: 0.132, 2024: 0.211, 2025: 0.121, 2026: 0.113}"
fdec+itd: R6 worst-ish price,1116,5.61,0.0967,"[+0.032, +0.163]",4/5,"{2022: 0.018, 2023: 0.108, 2024: 0.169, 2025: 0.158, 2026: -0.023}"
fdec+itd: best price,2696,13.55,0.1426,"[+0.094, +0.195]",5/5,"{2022: 0.014, 2023: 0.191, 2024: 0.231, 2025: 0.15, 2026: 0.102}"
fdec: as run (mean price),736,3.7,0.1931,"[+0.082, +0.304]",5/5,"{2022: 0.238, 2023: 0.156, 2024: 0.294, 2025: 0.224, 2026: 0.08}"
fdec: R1 price -2%,559,2.81,0.1841,"[+0.039, +0.332]",4/5,"{2022: 0.117, 2023: 0.157, 2024: 0.322, 2025: 0.284, 2026: -0.007}"
fdec: R1 price -4%,426,2.14,0.2159,"[+0.042, +0.403]",4/5,"{2022: 0.267, 2023: 0.199, 2024: 0.541, 2025: 0.299, 2026: -0.046}"
fdec: R2 3+ books,719,3.61,0.1692,"[+0.061, +0.275]",5/5,"{2022: 0.201, 2023: 0.125, 2024: 0.29, 2025: 0.154, 2026: 0.094}"
fdec: R3 edge > 6%,556,2.79,0.2423,"[+0.095, +0.397]",5/5,"{2022: 0.401, 2023: 0.28, 2024: 0.396, 2025: 0.283, 2026: 0.084}"
fdec: R4 one bet per bout,697,3.5,0.201,"[+0.086, +0.315]",5/5,"{2022: 0.238, 2023: 0.174, 2024: 0.316, 2025: 0.239, 2026: 0.064}"
fdec: R5 flat 1u,960,4.82,0.1853,"[+0.077, +0.301]",5/5,"{2022: 0.192, 2023: 0.272, 2024: 0.291, 2025: 0.115, 2026: 0.142}"
fdec: R6 worst-ish price,497,2.5,0.1232,"[+0.009, +0.241]",4/5,"{2022: 0.247, 2023: 0.091, 2024: 0.208, 2025: 0.177, 2026: -0.051}"
fdec: best price,1219,6.13,0.2488,"[+0.156, +0.343]",5/5,"{2022: 0.05, 2023: 0.396, 2024: 0.385, 2025: 0.202, 2026: 0.188}"
itd: as run (mean price),950,4.77,0.0773,"[+0.034, +0.121]",4/5,"{2022: -0.013, 2023: 0.11, 2024: 0.129, 2025: 0.122, 2026: 0.027}"
itd: R1 price -2%,643,3.23,0.0517,"[-0.003, +0.110]",4/5,"{2022: -0.086, 2023: 0.105, 2024: 0.126, 2025: 0.108, 2026: 0.001}"
itd: R1 price -4%,442,2.22,0.0226,"[-0.056, +0.101]",3/5,"{2022: -0.111, 2023: 0.101, 2024: 0.185, 2025: 0.038, 2026: -0.082}"
itd: R2 3+ books,84,0.42,0.1016,"[-0.021, +0.223]",2/2,"{2022: 0.089, 2024: 0.428}"
itd: R3 edge > 6%,574,2.88,0.0573,"[-0.008, +0.121]",3/5,"{2022: -0.082, 2023: 0.089, 2024: 0.172, 2025: 0.113, 2026: -0.019}"
itd: R4 one bet per bout,897,4.51,0.0789,"[+0.033, +0.125]",4/5,"{2022: -0.015, 2023: 0.109, 2024: 0.168, 2025: 0.11, 2026: 0.02}"
itd: R5 flat 1u,993,4.99,0.0802,"[+0.028, +0.134]",5/5,"{2022: 0.013, 2023: 0.048, 2024: 0.115, 2025: 0.129, 2026: 0.075}"
itd: R6 worst-ish price,619,3.11,0.0791,"[+0.025, +0.134]",4/5,"{2022: -0.041, 2023: 0.115, 2024: 0.132, 2025: 0.142, 2026: 0.004}"
itd: best price,1477,7.42,0.0824,"[+0.046, +0.119]",5/5,"{2022: 0.007, 2023: 0.107, 2024: 0.14, 2025: 0.111, 2026: 0.04}"
