stage,margin,model,bets,per_event,roi,roi_90ci,profit_u,max_dd,clv,years_up
open,primary,v2,1479,6.09,0.1429,"[+0.105, +0.183]",249.22,14.57,0.0997,6/6
open,primary,v1,1420,5.84,0.1235,"[+0.085, +0.162]",206.12,14.11,0.0999,5/6
open,low 2.5%,v2,1822,7.5,0.1519,"[+0.117, +0.187]",332.26,15.45,0.1093,6/6
open,low 2.5%,v1,1817,7.48,0.1286,"[+0.095, +0.162]",277.62,16.91,0.1076,6/6
open,high 5.5%,v2,1302,5.36,0.1406,"[+0.100, +0.182]",214.55,20.14,0.0972,6/6
open,high 5.5%,v1,1237,5.09,0.1214,"[+0.080, +0.164]",175.43,15.61,0.0971,5/6
open,consensus mean price,v2,1477,6.08,0.1422,,249.29,18.15,,6/6
open,consensus mean price,v1,1417,5.83,0.125,,209.14,17.67,,6/6
early,primary,v2,1324,5.45,0.0852,"[+0.046, +0.126]",130.73,18.94,0.043,5/6
early,low 2.5%,v2,1707,7.02,0.101,"[+0.066, +0.136]",203.4,17.47,0.0599,6/6
early,high 5.5%,v2,1128,4.64,0.0842,"[+0.041, +0.129]",108.87,19.67,0.0369,5/6
early,consensus mean price,v2,1224,5.04,0.0865,,122.3,21.14,,5/6
mid,primary,v2,1395,5.74,0.076,"[+0.038, +0.115]",121.12,22.44,0.0371,4/6
mid,low 2.5%,v2,1592,6.55,0.0853,"[+0.049, +0.122]",158.12,22.3,0.0456,6/6
mid,high 5.5%,v2,1012,4.16,0.0687,"[+0.023, +0.117]",76.77,22.96,0.0222,5/6
mid,consensus mean price,v2,1113,4.58,0.0719,,89.69,20.5,,5/6
close,primary,v2,1170,4.81,0.0471,"[+0.006, +0.089]",61.2,25.09,0.0,5/6
close,primary,v1,518,2.13,0.076,"[+0.015, +0.142]",33.42,9.53,0.0,5/6
close,low 2.5%,v2,1412,5.81,0.0514,"[+0.012, +0.090]",81.51,23.02,0.0098,5/6
close,low 2.5%,v1,733,3.02,0.0618,"[+0.006, +0.115]",40.21,13.55,0.0098,5/6
close,high 5.5%,v2,804,3.31,0.0336,"[-0.019, +0.088]",28.65,25.63,-0.019,5/6
close,high 5.5%,v1,281,1.16,0.0722,"[-0.022, +0.169]",14.85,9.97,-0.019,4/6
close,consensus mean price,v2,956,3.93,0.0339,,35.24,31.18,,5/6
close,consensus mean price,v1,381,1.57,0.0823,,24.55,7.27,,5/6
