stage,margin,model,bets,per_event,roi,roi_90ci,profit_u,max_dd,clv,years_up
open,primary,v2,1478,6.08,0.1402,"[+0.102, +0.179]",244.55,16.98,0.1001,6/6
open,primary,v1,1420,5.84,0.1235,"[+0.085, +0.162]",206.12,14.11,0.0999,5/6
open,low 2.5%,v2,1831,7.53,0.1487,"[+0.114, +0.182]",325.71,16.16,0.11,6/6
open,low 2.5%,v1,1817,7.48,0.1286,"[+0.095, +0.162]",277.62,16.91,0.1076,6/6
open,high 5.5%,v2,1305,5.37,0.1373,"[+0.098, +0.179]",209.08,19.05,0.0956,6/6
open,high 5.5%,v1,1237,5.09,0.1214,"[+0.080, +0.164]",175.43,15.61,0.0971,5/6
open,consensus mean price,v2,1473,6.06,0.1361,,238.02,19.76,,6/6
open,consensus mean price,v1,1417,5.83,0.125,,209.14,17.67,,6/6
early,primary,v2,1329,5.47,0.0843,"[+0.045, +0.125]",129.39,20.69,0.0443,5/6
early,low 2.5%,v2,1708,7.03,0.1023,"[+0.067, +0.137]",206.19,18.85,0.0592,6/6
early,high 5.5%,v2,1143,4.7,0.0872,"[+0.043, +0.132]",113.34,22.42,0.0365,5/6
early,consensus mean price,v2,1241,5.11,0.0836,,118.91,21.99,,5/6
mid,primary,v2,1408,5.79,0.0796,"[+0.041, +0.119]",127.59,21.0,0.0377,5/6
mid,low 2.5%,v2,1596,6.57,0.0798,"[+0.043, +0.117]",148.32,21.91,0.0459,6/6
mid,high 5.5%,v2,1015,4.18,0.068,"[+0.023, +0.116]",75.0,23.9,0.0219,5/6
mid,consensus mean price,v2,1119,4.6,0.0725,,89.99,21.93,,5/6
close,primary,v2,1178,4.85,0.0434,"[+0.002, +0.086]",56.47,26.9,0.0,5/6
close,primary,v1,518,2.13,0.076,"[+0.015, +0.142]",33.42,9.53,0.0,5/6
close,low 2.5%,v2,1407,5.79,0.0515,"[+0.014, +0.090]",81.49,23.72,0.0098,5/6
close,low 2.5%,v1,733,3.02,0.0618,"[+0.006, +0.115]",40.21,13.55,0.0098,5/6
close,high 5.5%,v2,805,3.31,0.0354,"[-0.021, +0.089]",29.92,23.53,-0.019,5/6
close,high 5.5%,v1,281,1.16,0.0722,"[-0.022, +0.169]",14.85,9.97,-0.019,4/6
close,consensus mean price,v2,955,3.93,0.0347,,35.84,29.69,,5/6
close,consensus mean price,v1,381,1.57,0.0823,,24.55,7.27,,5/6
