scenario,era,system,start,final,multiple,ruined,bets,staked,min_bankroll,max_dd_pct,weeks_up_pct,weeks_down_pct,worst_week_pct,median_week_pct,months_up_pct,months_down_pct,worst_month_pct,median_month_pct,quarters_up_pct,quarters_down_pct,worst_quarter_pct,median_quarter_pct,years_up_pct,years_down_pct,worst_year_pct,median_year_pct
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user,100.0,1942.0,19.42,False,3170,21887.0,100.0,18.1,45.7,29.7,-7.8,0.0,64.8,34.5,-9.6,2.1,80.0,20.0,-12.6,5.0,84.6,15.4,-4.3,26.7
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user (skip stakes < R$1),100.0,1963.81,19.64,False,3013,21894.0,100.0,17.8,46.0,29.2,-8.9,0.0,64.2,35.2,-9.5,2.1,80.0,20.0,-12.4,5.0,84.6,15.4,-3.9,26.6
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user (max R$500 per bet),100.0,1942.0,19.42,False,3170,21887.0,100.0,18.1,45.7,29.7,-7.8,0.0,64.8,34.5,-9.6,2.1,80.0,20.0,-12.6,5.0,84.6,15.4,-4.3,26.7
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,"user (max R$2,000 per bet)",100.0,1942.0,19.42,False,3170,21887.0,100.0,18.1,45.7,29.7,-7.8,0.0,64.8,34.5,-9.6,2.1,80.0,20.0,-12.6,5.0,84.6,15.4,-4.3,26.7
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive,200.0,265062264.43,1325311.32,False,3162,12620853782.6,200.0,99.2,45.6,29.8,-83.3,0.0,61.2,38.2,-87.2,19.7,65.5,34.5,-92.9,35.6,76.9,23.1,-95.7,111.9
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive (max R$500 per bet),200.0,110914.61,554.57,False,3170,1477056.52,200.0,67.1,43.1,32.3,-66.2,0.0,58.8,40.6,-61.1,1.3,69.1,30.9,-38.5,5.5,84.6,15.4,-2.8,24.4
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,"aggressive (max R$2,000 per bet)",200.0,360141.43,1800.71,False,3162,4833507.35,200.0,83.4,43.2,32.2,-83.1,0.0,59.4,40.0,-78.7,2.3,65.5,34.5,-43.5,6.5,76.9,23.1,-12.3,34.2
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,flat,100.0,473.33,4.73,False,3170,3630.5,100.0,10.2,45.7,29.7,-5.1,0.0,64.8,34.5,-5.6,0.7,81.8,18.2,-3.6,2.4,84.6,15.4,-0.9,11.8
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user,100.0,245.58,2.46,False,1395,1859.5,100.0,13.7,48.3,32.9,-5.7,0.0,58.0,42.0,-7.3,1.6,73.9,26.1,-9.8,4.0,60.0,40.0,-2.7,22.3
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user (skip stakes < R$1),100.0,232.82,2.33,False,1104,1692.87,98.68,12.3,46.3,34.9,-5.9,0.0,59.4,40.6,-6.6,0.9,78.3,21.7,-7.8,4.2,60.0,40.0,-1.8,18.1
