scenario,starts_from,system,horizon,windows,profit_pct_of_windows,loss_pct,no_bets_pct,median_return_pct,p10_return_pct,worst_return_pct,best_return_pct,ruined_windows
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user,1 week,713,45.9,29.6,24.5,0.0,-2.0,-8.9,9.7,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user,1 month,710,66.2,33.0,0.8,2.2,-4.3,-11.5,16.7,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user,3 months,701,80.5,19.5,0.0,6.9,-3.9,-16.1,31.8,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,user,1 year,662,92.9,7.1,0.0,26.7,3.4,-10.6,61.8,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive,1 week,713,45.9,29.6,24.5,0.0,-10.1,-44.6,48.3,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive,1 month,710,65.2,33.9,0.8,10.5,-21.5,-51.7,101.5,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive,3 months,701,77.2,22.8,0.0,29.3,-21.8,-64.2,349.4,0
"Est. Pinnacle, mid-week (3 days before)",2013-01-01 to Sep 2026,aggressive,1 year,662,84.6,15.4,0.0,112.0,-22.2,-55.6,2948.5,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user,1 week,296,48.6,32.8,18.6,0.0,-2.1,-8.3,6.5,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user,1 month,293,62.5,36.9,0.7,2.2,-4.6,-11.5,13.1,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user,3 months,284,72.2,27.8,0.0,6.8,-6.9,-16.1,23.5,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,user,1 year,245,80.8,19.2,0.0,13.5,-3.2,-10.6,56.6,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,aggressive,1 week,296,48.6,32.8,18.6,0.0,-10.3,-41.7,32.7,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,aggressive,1 month,293,62.1,37.2,0.7,10.6,-21.6,-51.7,78.1,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,aggressive,3 months,284,68.7,31.3,0.0,26.7,-33.8,-64.2,211.0,0
"Est. Pinnacle, mid-week (3 days before)",2021-01-01 to Sep 2026,aggressive,1 year,245,60.8,39.2,0.0,30.3,-38.3,-55.6,2948.5,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,user,1 week,713,48.9,26.5,24.5,0.0,-1.9,-8.2,10.6,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,user,1 month,710,74.5,24.6,0.8,3.5,-3.7,-12.4,16.7,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,user,3 months,701,86.4,13.6,0.0,10.6,-1.7,-13.1,31.1,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,user,1 year,662,100.0,0.0,0.0,45.6,17.8,6.7,83.7,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,aggressive,1 week,713,48.9,26.5,24.5,0.0,-9.5,-40.8,53.2,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,aggressive,1 month,710,74.8,24.4,0.8,16.2,-17.5,-55.9,83.3,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,aggressive,3 months,701,84.3,15.7,0.0,48.1,-15.4,-51.5,262.8,0
"Est. Pinnacle, lines just opened (14 days before)",2013-01-01 to Sep 2026,aggressive,1 year,662,99.8,0.2,0.0,474.1,61.6,-11.8,4067.1,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,user,1 week,296,52.7,28.7,18.6,0.2,-2.0,-8.2,10.6,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,user,1 month,293,75.1,24.2,0.7,3.7,-4.5,-8.7,16.4,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,user,3 months,284,82.4,17.6,0.0,10.8,-3.1,-13.1,30.4,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,user,1 year,245,100.0,0.0,0.0,37.3,22.7,11.1,78.2,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,aggressive,1 week,296,52.7,28.7,18.6,1.2,-9.8,-40.8,53.2,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,aggressive,1 month,293,74.7,24.6,0.7,15.5,-18.5,-50.0,80.0,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,aggressive,3 months,284,81.3,18.7,0.0,48.1,-20.7,-51.5,262.8,0
"Est. Pinnacle, lines just opened (14 days before)",2021-01-01 to Sep 2026,aggressive,1 year,245,99.6,0.4,0.0,257.6,50.5,-11.8,3036.4,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,user,1 week,713,43.3,32.1,24.5,0.0,-2.1,-7.0,12.1,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,user,1 month,710,63.2,35.9,0.8,1.5,-4.6,-14.7,15.0,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,user,3 months,701,72.5,27.5,0.0,4.7,-6.0,-17.7,24.6,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,user,1 year,662,83.1,16.9,0.0,17.4,-3.1,-19.0,53.1,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,aggressive,1 week,713,43.2,32.3,24.5,0.0,-10.5,-35.2,60.5,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,aggressive,1 month,710,62.3,36.9,0.8,7.1,-22.8,-58.2,88.5,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,aggressive,3 months,701,68.8,31.2,0.0,19.0,-31.8,-66.3,217.3,0
"Est. Pinnacle, fight day",2013-01-01 to Sep 2026,aggressive,1 year,662,74.3,25.7,0.0,46.0,-30.6,-74.3,1857.5,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,user,1 week,296,43.6,37.8,18.6,0.0,-2.0,-6.2,6.4,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,user,1 month,293,59.0,40.3,0.7,1.0,-4.9,-11.0,10.8,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,user,3 months,284,65.5,34.5,0.0,3.4,-8.1,-17.6,20.1,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,user,1 year,245,58.4,41.6,0.0,4.4,-10.3,-19.0,40.6,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,aggressive,1 week,296,43.6,37.8,18.6,0.0,-10.2,-31.1,32.1,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,aggressive,1 month,293,59.0,40.3,0.7,4.9,-23.4,-47.8,54.1,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,aggressive,3 months,284,61.6,38.4,0.0,15.7,-37.8,-65.9,120.3,0
"Est. Pinnacle, fight day",2021-01-01 to Sep 2026,aggressive,1 year,245,48.6,51.4,0.0,-4.9,-52.6,-74.3,788.4,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,user,1 week,416,37.3,26.7,36.1,0.0,-2.0,-10.8,9.1,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,user,1 month,413,61.3,29.5,9.2,1.5,-3.4,-11.2,17.9,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,user,3 months,404,77.5,15.3,7.2,5.9,-1.2,-14.8,29.5,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,user,1 year,365,96.2,3.8,0.0,27.6,7.4,-9.9,63.5,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,aggressive,1 week,416,37.0,26.9,36.1,0.0,-10.1,-53.9,45.5,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,aggressive,1 month,413,60.5,30.3,9.2,6.4,-17.1,-55.3,114.0,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,aggressive,3 months,404,72.0,20.8,7.2,23.9,-15.8,-61.9,351.6,0
REAL Pinnacle closing odds (2013-2020 only),2013-01-01 to Sep 2026,aggressive,1 year,365,94.8,5.2,0.0,103.3,13.1,-45.9,4495.1,0
