edge_case,start,unit_per_100,unit_pct,median_1y,median_2y,median_3y,bad_luck_3y_p10,good_luck_3y_p90,chance_down_after_1y,chance_down_after_3y,chance_ever_half,chance_ever_80pct_lost,chance_10x_3y
lines open,100,1.0,1.0,140,182,241,183,333,1.6,0.0,0.0,0.0,0.0
lines open,100,1.5,1.5,161,241,390,238,678,1.1,0.0,0.0,0.0,1.5
lines open,100,2.0,2.0,184,339,674,336,1451,1.3,0.0,0.0,0.0,25.0
lines open,100,3.0,3.0,237,639,1859,602,6052,1.6,0.0,0.2,0.0,75.3
lines open,100,4.0,4.0,309,1191,4747,1027,23087,1.8,0.0,1.3,0.0,90.4
lines open,100,5.0,5.0,402,2065,11213,1613,80634,2.4,0.0,3.2,0.0,94.6
lines open,300,1.0,1.0,428,622,907,626,1343,1.8,0.0,0.0,0.0,0.0
lines open,300,1.5,1.5,507,893,1582,886,2873,1.8,0.0,0.0,0.0,8.4
lines open,300,2.0,2.0,600,1267,2699,1246,6024,1.9,0.0,0.0,0.0,43.1
lines open,300,3.0,3.0,828,2510,7543,2296,25022,2.2,0.0,0.1,0.0,83.9
lines open,300,4.0,4.0,1119,4692,19141,3931,93922,2.7,0.0,0.4,0.0,93.5
lines open,300,5.0,5.0,1460,8218,44327,6038,318339,3.8,0.1,1.6,0.0,95.8
lines open,500,1.0,1.0,728,1079,1591,1084,2368,1.6,0.0,0.0,0.0,0.0
lines open,500,1.5,1.5,874,1567,2792,1560,5102,1.6,0.0,0.0,0.0,10.8
lines open,500,2.0,2.0,1039,2251,4840,2215,10801,1.8,0.0,0.0,0.0,47.6
lines open,500,3.0,3.0,1451,4480,13444,4136,44890,2.1,0.0,0.1,0.0,85.8
lines open,500,4.0,4.0,1975,8365,34403,7141,169398,2.4,0.0,0.8,0.0,94.2
lines open,500,5.0,5.0,2601,14652,79478,11037,583852,3.3,0.1,2.9,0.0,96.3
3 days before,100,1.0,1.0,120,142,163,122,199,13.6,2.8,0.0,0.0,0.0
3 days before,100,1.5,1.5,132,164,193,140,296,10.0,1.4,0.1,0.0,0.0
3 days before,100,2.0,2.0,142,183,240,150,445,11.6,1.7,0.4,0.0,0.4
3 days before,100,3.0,3.0,162,229,360,161,968,12.1,2.4,4.2,0.0,9.4
3 days before,100,4.0,4.0,178,289,505,165,2112,13.1,3.2,9.4,0.4,27.2
3 days before,100,5.0,5.0,190,357,703,162,4233,14.3,4.4,15.5,1.9,39.7
3 days before,300,1.0,1.0,359,426,508,365,722,13.6,2.2,0.0,0.0,0.0
3 days before,300,1.5,1.5,386,500,655,389,1119,13.6,2.5,0.0,0.0,0.0
3 days before,300,2.0,2.0,413,586,830,410,1725,13.8,2.8,0.1,0.0,1.2
3 days before,300,3.0,3.0,478,774,1288,437,3927,15.0,3.9,1.8,0.0,16.4
3 days before,300,4.0,4.0,536,984,1865,425,8465,16.4,5.2,6.7,0.2,34.4
3 days before,300,5.0,5.0,593,1190,2542,403,16849,18.4,6.4,12.4,0.6,44.8
3 days before,500,1.0,1.0,600,726,876,613,1259,12.1,2.0,0.0,0.0,0.0
3 days before,500,1.5,1.5,656,861,1144,664,1966,12.4,2.2,0.0,0.0,0.0
3 days before,500,2.0,2.0,708,1016,1457,701,3056,13.0,2.7,0.4,0.0,1.7
3 days before,500,3.0,3.0,819,1362,2283,750,7091,14.3,3.8,2.9,0.0,18.6
3 days before,500,4.0,4.0,927,1744,3289,740,15048,16.1,4.9,8.8,0.1,36.4
3 days before,500,5.0,5.0,1024,2121,4447,678,29969,17.7,6.7,15.5,0.8,46.9
fight day,100,1.0,1.0,107,116,124,89,159,31.9,21.1,0.0,0.0,0.0
fight day,100,1.5,1.5,113,126,140,89,189,27.4,15.8,0.5,0.0,0.0
fight day,100,2.0,2.0,118,137,155,84,236,29.0,16.7,2.9,0.0,0.0
fight day,100,3.0,3.0,126,153,174,73,359,29.1,17.6,13.5,0.0,0.4
fight day,100,4.0,4.0,133,162,184,58,531,30.4,20.1,22.9,2.6,2.8
fight day,100,5.0,5.0,138,168,191,43,767,31.5,23.2,32.3,8.4,6.9
fight day,300,1.0,1.0,322,349,374,281,503,32.5,18.9,0.0,0.0,0.0
fight day,300,1.5,1.5,332,369,404,270,649,32.5,19.5,0.0,0.0,0.0
fight day,300,2.0,2.0,342,388,442,254,828,32.7,20.4,0.7,0.0,0.0
fight day,300,3.0,3.0,356,417,500,207,1308,34.0,23.5,6.8,0.0,1.1
fight day,300,4.0,4.0,366,443,532,183,1984,36.4,27.0,17.2,1.0,4.7
fight day,300,5.0,5.0,367,448,549,161,2862,38.5,30.3,28.0,3.5,9.4
fight day,500,1.0,1.0,541,584,630,469,869,29.5,17.0,0.0,0.0,0.0
fight day,500,1.5,1.5,559,624,696,446,1129,30.0,18.1,0.2,0.0,0.0
fight day,500,2.0,2.0,575,660,759,413,1461,30.8,19.6,1.7,0.0,0.0
fight day,500,3.0,3.0,598,718,866,352,2321,32.6,23.1,10.2,0.0,1.4
fight day,500,4.0,4.0,613,757,932,281,3552,35.3,26.4,21.9,0.6,5.4
fight day,500,5.0,5.0,624,763,943,214,5090,37.6,30.4,33.1,3.2,10.4
