prices,start,unit_per_100,y1_typical,y2_typical,y3_typical,y5_typical,y5_bad_luck,y5_good_luck,down_after_1y,ever_lost_half,ever_lost_80,reach_10k_3y,reach_100k_5y
as tested,300,1,430,621,905,2024,1218,3301,1.7,0.0,0.0,0.0,0.0
as tested,300,2,606,1265,2690,13090,4681,35138,1.8,0.0,0.0,1.5,0.7
as tested,300,3,833,2496,7482,73864,15452,259337,2.2,0.1,0.0,37.7,39.2
as tested,300,4,1138,4615,19128,236869,43858,471468,2.9,0.5,0.0,70.0,78.9
as tested,300,5,1488,8065,45221,358006,112624,596246,3.8,1.7,0.0,82.9,90.9
as tested,300,6,1903,13430,96489,431758,170760,675170,4.7,4.2,0.1,88.3,95.1
as tested,300,8,2796,30360,179122,516316,236414,771709,6.7,13.7,1.3,91.1,97.2
as tested,300,10,3633,57778,219108,554800,255030,821638,9.4,23.6,6.2,90.6,96.7
as tested,500,1,732,1076,1587,3594,2150,5883,1.4,0.0,0.0,0.0,0.0
as tested,500,2,1050,2239,4822,23606,8403,63768,1.7,0.0,0.0,12.1,3.6
as tested,500,3,1467,4422,13421,133423,27935,344588,2.1,0.1,0.0,62.6,59.5
as tested,500,4,1998,8278,34258,307007,80771,542954,2.8,0.9,0.0,83.9,88.0
as tested,500,5,2630,14635,83564,414518,167012,653707,3.6,3.1,0.0,91.0,95.1
as tested,500,6,3388,23933,143257,480645,220493,725622,4.4,6.6,0.1,93.4,97.2
as tested,500,8,5003,58782,218982,555923,281078,811478,7.1,14.8,1.5,94.4,98.2
as tested,500,10,6291,90732,254077,593252,294047,853031,10.1,25.1,6.4,93.2,97.6
prices 3% worse,300,1,380,477,601,989,675,1459,5.2,0.0,0.0,0.0,0.0
prices 3% worse,300,2,471,740,1191,3194,1465,7121,5.2,0.0,0.0,0.0,0.0
prices 3% worse,300,3,576,1134,2269,9599,2915,32021,5.4,0.0,0.0,1.9,0.5
prices 3% worse,300,4,694,1666,4097,25596,5348,126347,6.0,0.4,0.0,18.0,14.7
prices 3% worse,300,5,828,2358,6997,63839,8726,231410,6.8,1.7,0.0,38.2,38.8
prices 3% worse,300,6,968,3231,11146,121702,12915,300989,7.8,4.1,0.1,53.2,57.4
prices 3% worse,300,8,1246,5276,24199,191487,21716,385500,10.0,10.6,0.8,67.3,74.2
prices 3% worse,300,10,1482,7663,47531,230633,29068,431861,12.1,19.5,3.0,72.1,79.9
prices 3% worse,500,1,640,814,1045,1739,1177,2584,4.2,0.0,0.0,0.0,0.0
prices 3% worse,500,2,805,1295,2107,5735,2612,12770,4.7,0.0,0.0,0.0,0.0
prices 3% worse,500,3,998,1997,4049,17204,5227,57091,5.1,0.2,0.0,10.8,3.2
prices 3% worse,500,4,1206,2943,7345,46551,9383,185342,5.9,1.0,0.0,37.2,28.0
prices 3% worse,500,5,1449,4217,12524,111465,15725,281731,6.4,2.6,0.0,57.1,54.2
prices 3% worse,500,6,1698,5775,20220,164596,23264,346231,7.5,5.2,0.0,67.9,69.4
prices 3% worse,500,8,2193,9635,47189,228720,44420,419753,9.6,13.2,0.8,77.6,81.6
prices 3% worse,500,10,2637,13913,77938,262039,58870,460397,12.4,21.6,3.0,79.4,85.0
